sname,gDNA_coverage,n,endogenous_percentage,imputed
ABB,0.742,1,NA,NA
ACC,0.945,1,NA,NA
ACI,1.091,1,NA,NA
ADD,0.81,1,NA,NA
ADL,0.117,1,NA,NA
ADR,0.907,1,NA,NA
AGE,0.962,1,NA,NA
AGG,0.987,1,NA,NA
AGU,1.28,1,NA,NA
AKE,0.829,1,NA,NA
ALE,7.966,2,NA,NA
AMO,1.422,1,NA,NA
ANC,1.118,1,NA,NA
APO,1.375,1,NA,NA
APP,0.704,1,NA,NA
ARA,2.903,1,NA,NA
ARS,1.028,1,NA,NA
ATE,1.083,1,NA,NA
AUS,0.802,1,NA,NA
AXE,0.897,1,NA,NA
AZL,22.609,1,NA,NA
BAG,0.954,1,NA,NA
BAT,1.175,1,NA,NA
BET,1.094,1,NA,NA
BIK,0.823,1,1.01,TRUE
BIN,1.104,1,NA,NA
BIO,1.07,1,1.16,TRUE
BOG,0.514,1,NA,NA
BOL,1.263,1,NA,NA
BUT,1.298,1,NA,NA
BWA,1.215,1,NA,NA
BYR,23.702,1,NA,NA
CAB,1.28,1,NA,NA
CAC,0.995,1,NA,NA
CAD,0.918,1,NA,NA
CAH,51.793,1,NA,NA
CAI,0.867,1,NA,NA
CAR,1.039,1,NA,NA
CEL,1.06,1,NA,NA
CEN,0.767,1,NA,NA
CHE,37.895,1,NA,NA
COD,18.264,1,NA,NA
CON,1.185,1,NA,NA
COO,0.843,1,NA,NA
COT,1.069,1,NA,NA
CUI,8.147,2,NA,NA
DAB,13.871,1,NA,NA
DAC,0.957,1,NA,NA
DAD,0.845,1,NA,NA
DAG,1.123,1,NA,NA
DAI,0.899,1,NA,NA
DAN,0.893,1,NA,NA
DAO,0.916,1,NA,NA
DAS,1.213,1,NA,NA
DAV,0.983,1,NA,NA
DAZ,0.743,1,NA,NA
DED,1.556,1,NA,NA
DEG,1.306,1,NA,NA
DEN,1.402,1,NA,NA
DEX,26.127,1,NA,NA
DEZ,26.839,1,NA,NA
DHO,0.996,1,NA,NA
DIB,1.093,1,NA,NA
DIC,0.906,1,NA,NA
DID,1.076,1,NA,NA
DIR,0.568,1,NA,NA
DIS,8.574,2,NA,NA
DIV,1.066,1,NA,NA
DIW,24.559,1,NA,NA
DIX,1.378,1,NA,NA
DJI,0.805,1,NA,NA
DLO,24.402,1,NA,NA
DOH,1.116,1,NA,NA
DOI,27.466,1,NA,NA
DOJ,0.824,1,NA,NA
DOL,1.064,1,NA,NA
DON,3.046,1,NA,NA
DOT,9.534,2,NA,NA
DRI,0.712,1,NA,NA
DRO,11.132,2,NA,NA
DUB,0.827,1,NA,NA
DUK,1.001,1,NA,NA
DUN,0.883,1,NA,NA
DUV,0.841,1,NA,NA
DUX,1.252,1,NA,NA
EAG,1.199,1,NA,NA
EAS,1.45,1,NA,NA
ECH,8.058,1,NA,NA
ECL,1.387,1,NA,NA
ECO,28.942,1,NA,NA
EDG,1.188,1,NA,NA
EID,1.135,1,NA,NA
EKE,0.851,1,NA,NA
ELA,1.14,1,NA,NA
ELF,10.333,2,NA,NA
ELV,0.657,1,0.64,TRUE
EMC,30.883,1,NA,NA
EMI,1.068,1,NA,NA
ENV,1.045,1,NA,NA
EPI,1.165,1,NA,NA
EQU,0.868,1,NA,NA
ERM,0.925,1,NA,NA
EUR,1.066,1,NA,NA
EVA,1.218,1,NA,NA
FAB,1.027,1,NA,NA
FAC,1.222,1,NA,NA
FAM,1.228,1,NA,NA
FAT,8.732,2,NA,NA
FAU,0.861,1,NA,NA
FAV,8.421,2,NA,NA
FAX,0.686,1,NA,NA
FIL,1.183,1,NA,NA
FLA,1.032,1,NA,NA
FRU,1.076,1,NA,NA
FUM,9.585999999999999,2,NA,NA
GAB,0.943,1,NA,NA
GAM,2.062,1,NA,NA
GAN,34.811,1,NA,NA
GAP,13.778,1,NA,NA
GER,1.006,1,NA,NA
GET,0.766,1,NA,NA
GIZ,10.665000000000001,2,NA,NA
GLA,26.661,1,NA,NA
GLO,0.77,1,NA,NA
GOD,1.047,1,NA,NA
GON,25.617,1,NA,NA
GOO_likely,26.044,1,NA,NA
GRA,15.462,1,NA,NA
GUF,0.794,1,NA,NA
GUR,1.123,1,NA,NA
HAG,0.631,1,NA,NA
HAN,9.261,2,NA,NA
HAP,24.829,1,NA,NA
HAV,1.313,1,NA,NA
HEI,1.141,1,NA,NA
HEK,8.399000000000001,2,NA,NA
HIA,1.092,1,NA,NA
HIB,1.301,1,NA,NA
HIW,21.83,1,NA,NA
HIZ,0.815,1,NA,NA
HNS,0.939,1,NA,NA
HOB,0.73,1,NA,NA
HOK,0.99,1,NA,NA
HOL,1.123,1,NA,NA
HON,1.761,1,NA,NA
HUC,1.271,1,NA,NA
HUN,22.737,1,NA,NA
HUR,0.758,1,NA,NA
HYM,39.004,1,NA,NA
IDA,0.717,1,NA,NA
IDI,1.112,1,NA,NA
IGL,22.239,1,NA,NA
IGU,0.868,1,NA,NA
IGW,19.285,1,NA,NA
ILA,19.462,1,NA,NA
ILI,0.724,1,NA,NA
INZ,8.838000000000001,2,NA,NA
ISC,17.065,1,NA,NA
IVY,20.457,1,NA,NA
JAD,9.577000000000002,2,NA,NA
JAG,1.104,1,1.1,TRUE
JAZ,1.096,1,NA,NA
JER,0.933,1,NA,NA
JES,0.899,1,NA,NA
JEW,0.91,1,NA,NA
JIT,1.073,1,NA,NA
JOY,1.044,1,NA,NA
JUH,0.849,1,NA,NA
JUP,0.732,1,NA,NA
JUU,1.131,1,NA,NA
KAD,0.741,1,NA,NA
KAF,0.791,1,NA,NA
KAG,1.108,1,NA,NA
KAK,0.843,1,NA,NA
KAT,1.101,1,NA,NA
KEL,36.688,1,NA,NA
KER,3.268,1,NA,NA
KES,0.958,1,NA,NA
KIC,25.434,1,NA,NA
KIJ,0.738,1,NA,NA
KIM,1.021,1,NA,NA
KIT,1.01,1,NA,NA
KIW,0.947,1,NA,NA
KIZ,1.049,1,NA,NA
KNO,1.043,1,NA,NA
KOA,0.763,1,NA,NA
KOB,0.86,1,NA,NA
KOK,24.516,1,NA,NA
KOL,1.13,1,NA,NA
KOM,0.987,1,NA,NA
KOR,0.91,1,NA,NA
KUK,0.664,1,NA,NA
KUP,8.782,2,NA,NA
KUS,0.999,1,NA,NA
KUZ,0.778,1,NA,NA
KWA,0.976,1,NA,NA
LAM,8.003,2,NA,NA
LAN,1.035,1,NA,NA
LAO,1.108,1,NA,NA
LAR,10.133000000000001,2,NA,NA
LAS,1.104,1,NA,NA
LAT,1.115,1,NA,NA
LAU,1.071,1,NA,NA
LAV,0.749,1,NA,NA
LAW,1.193,1,NA,NA
LAX,9.902000000000001,2,NA,NA
LAZ,9.774000000000001,2,3.15,TRUE
LEB,0.866,1,2.13,TRUE
LEC,0.954,1,2.6,TRUE
LEL,8.693,2,NA,NA
LEM,0.963,1,NA,NA
LEO,1.356,1,NA,NA
LIB,28.813,1,NA,NA
LIM,10.415999999999999,2,2.56,TRUE
LIN,9.126999999999999,2,NA,NA
LIT,22.735,1,NA,NA
LIW,1.239,1,NA,NA
LIX,0.959,1,NA,NA
LIZ,1.143,1,1.14,TRUE
LOB,0.802,1,NA,NA
LOC,1.48,1,NA,NA
LOD,1.29,1,NA,NA
LOF,9.937,2,0.38,FALSE
LOG,8.398,2,NA,NA
LOH,20.38,1,NA,NA
LOL,2.062,1,NA,NA
LON,10.34,2,NA,NA
LOP,27.018,1,NA,NA
LOU,1.197,1,0.37,FALSE
LOX,0.593,1,NA,NA
LOZ,1.218,1,0.38,FALSE
LUD,1.023,1,NA,NA
LUE,0.184,1,NA,NA
LUF,1.065,1,NA,NA
LUI,0.577,1,NA,NA
LUK,1.333,1,NA,NA
LUN,8.467,2,NA,NA
LUO,0.798,1,1.57,FALSE
LUR,0.765,1,NA,NA
LUS,0.809,1,NA,NA
LUT,1.388,1,NA,NA
LUV,1.082,1,NA,NA
LUX,1.326,1,NA,NA
LUZ,0.9,1,NA,NA
LYB,0.705,1,NA,NA
LYC,1.024,1,NA,NA
LYE,1.241,1,NA,NA
LYK,28.459,1,NA,NA
LYM,0.948,1,NA,NA
MAD,1.147,1,NA,NA
MAH,1.07,1,NA,NA
MAT,0.887,1,NA,NA
MBE,0.831,1,NA,NA
MEL,0.638,1,NA,NA
MEN,1.112,1,NA,NA
MIM,1.015,1,NA,NA
MIT,1.13,1,NA,NA
MLI,1.099,1,NA,NA
MLO,8.408,2,NA,NA
MOL,0.835,1,NA,NA
MON,0.926,1,NA,NA
MOR,1.058,1,NA,NA
MSW,0.994,1,NA,NA
MUS,0.915,1,NA,NA
MWE,0.956,1,NA,NA
NAJ,25.455,1,NA,NA
NAK_likely,24.62,1,NA,NA
NAL,27.274,1,NA,NA
NAP,0.987,1,NA,NA
NAR,1.086,1,NA,NA
NAW,0.997,1,NA,NA
NAX,26.296,1,NA,NA
NAY,0.83,1,NA,NA
NDI,1.338,1,NA,NA
NEA,14.064,2,NA,NA
NEE,8.467,2,NA,NA
NEH,1.023,1,NA,NA
NEK,18.824,1,NA,NA
NEL,9.741,2,NA,NA
NEP,9.116999999999999,2,NA,NA
NET,1.473,1,NA,NA
NGG,1.335,1,NA,NA
NGI,52.184,1,NA,NA
NGU,0.775,1,NA,NA
NIG,7.9879999999999995,2,NA,NA
