study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJEB59576	SAMEA14464458	ERX10380739	ERR10941430	210166	Cheracebus lugens	5f89b16f49541cc772166d69b301fcee;7dc4a868432a641e6bfc6a4e0841e52b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/030/ERR10941430/ERR10941430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/030/ERR10941430/ERR10941430_2.fastq.gz	PD_0001
PRJEB59576	SAMEA14464441	ERX10380748	ERR10941439	666519	Mico humilis	bc8b531be2dd357bfe487e0244d85712;c3575b00b9726c0f269a085e95d4c383	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10941439/ERR10941439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10941439/ERR10941439_2.fastq.gz	PD_0002
PRJEB59576	SAMEA14464399	ERX10380758	ERR10941449	9507	Ateles belzebuth	27d002fe538f6b8f466c94a6cd4de155;d4aa0286c8e4d0265386a4f830694f43	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10941449/ERR10941449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10941449/ERR10941449_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380759	ERR10941450	9507	Ateles belzebuth	36e951f5d9d33130fbea5452b1ba5996;5176f70d92ea404ae9045db9fb9bb253	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10941450/ERR10941450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10941450/ERR10941450_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380761	ERR10941452	9507	Ateles belzebuth	286c0474ed8159f8d04b3d48157cedc2;6d0e25e39b0043e31d0c6a412c5710aa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10941452/ERR10941452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10941452/ERR10941452_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380762	ERR10941453	9507	Ateles belzebuth	1fd21366f2d746c62cfd97287656336e;4f9810632e48465df3c4fc027215d2c8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10941453/ERR10941453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10941453/ERR10941453_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380763	ERR10941454	9507	Ateles belzebuth	ef7b7e90119d7fda8e22146ed61c17e3;e2b448a35d14050d95b74e10f8ccb328	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10941454/ERR10941454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10941454/ERR10941454_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464368	ERX10380766	ERR10941457	198115	Alouatta macconnelli	58f87fce010b05f9750e6cab96175344;bc65fa9d4eb8a6ceed8a3db1e7969200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/057/ERR10941457/ERR10941457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/057/ERR10941457/ERR10941457_2.fastq.gz	PD_0005
PRJEB59576	SAMEA14464368	ERX10380767	ERR10941458	198115	Alouatta macconnelli	cb281336b3425f4a81a25c2cfe6860ba;28260a0105bd4716d79c315499e9818b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10941458/ERR10941458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10941458/ERR10941458_2.fastq.gz	PD_0005
PRJEB59576	SAMEA14464473	ERX10380773	ERR10941464	280163	Chiropotes israelita	d1b111902a3865f6798fca8f205ac342;31a437229573c4b6cd5c6df0ccfa6148	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941464/ERR10941464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941464/ERR10941464_2.fastq.gz	PD_0006
PRJEB59576	SAMEA14464473	ERX10380775	ERR10941466	280163	Chiropotes israelita	7198539afd875eafd1c6694f874d8bd9;214e5767bed9c50bb9ae6a441af36443	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10941466/ERR10941466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/066/ERR10941466/ERR10941466_2.fastq.gz	PD_0006
PRJEB59576	SAMEA14464473	ERX10380777	ERR10941468	280163	Chiropotes israelita	2b7b9eb1983fb2eedd806785204209b8;e13143b5e1a724abca1d946142815797	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/068/ERR10941468/ERR10941468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/068/ERR10941468/ERR10941468_2.fastq.gz	PD_0006
PRJEB59576	SAMEA14464473	ERX10380778	ERR10941469	280163	Chiropotes israelita	6cf3c55d29187a67fe48d61e4d5640a4;68b464ed3b2d404543792cd35a46d11f	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10941469/ERR10941469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10941469/ERR10941469_2.fastq.gz	PD_0006
PRJEB59576	SAMEA14464448	ERX10380781	ERR10941472	37295	Cebus olivaceus	1a716ccc930a0df0b4f363dc2e617bb9;205d16f940ee1f5bd6a25086e642a474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/072/ERR10941472/ERR10941472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/072/ERR10941472/ERR10941472_2.fastq.gz	PD_0007
PRJEB59576	SAMEA14464448	ERX10380782	ERR10941473	37295	Cebus olivaceus	abedb1fc2ec3b14dbb6a02ef82153cca;d3a0550fd526f18e8b551afde5e49ee4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10941473/ERR10941473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/073/ERR10941473/ERR10941473_2.fastq.gz	PD_0007
PRJEB59576	SAMEA14464448	ERX10380785	ERR10941476	37295	Cebus olivaceus	f234a10ddb7792da2867a36639708f53;b1ef9f32eb809af3396398cd38965ebe	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/076/ERR10941476/ERR10941476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/076/ERR10941476/ERR10941476_2.fastq.gz	PD_0007
PRJEB59576	SAMEA14464448	ERX10380786	ERR10941477	37295	Cebus olivaceus	fc6b37c371f1366af022a4d57c5f7451;5eb65cee21d47f994fc1712b55c015d2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10941477/ERR10941477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10941477/ERR10941477_2.fastq.gz	PD_0007
PRJEB59576	SAMEA14464397	ERX10380787	ERR10941478	9505	Aotus trivirgatus	d66b4b8064d745e58430c05138a26ce8;8958207cfe79cd6820a41b4daf859cf9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10941478/ERR10941478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10941478/ERR10941478_2.fastq.gz	PD_0008
PRJEB59576	SAMEA14464397	ERX10380788	ERR10941479	9505	Aotus trivirgatus	1de53f7280e82e549b7d61df61ccf563;c61b513eed174d351d7cb318af630294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10941479/ERR10941479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/079/ERR10941479/ERR10941479_2.fastq.gz	PD_0008
PRJEB59576	SAMEA14464397	ERX10380791	ERR10941482	9505	Aotus trivirgatus	a84d32d2244fca30bcc2b9f5590340fe;2b827dfc5bf6136ea903204b44a7f457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10941482/ERR10941482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/082/ERR10941482/ERR10941482_2.fastq.gz	PD_0008
PRJEB59576	SAMEA14464522	ERX10380798	ERR10941489	1079039	Saguinus inustus	f36ac4eb3e5c31c73341bc42ccfcf8e1;5c9db0ef2937498e452b12bbf0fd46d0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10941489/ERR10941489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/089/ERR10941489/ERR10941489_2.fastq.gz	PD_0009
PRJEB59576	SAMEA14464442	ERX10380806	ERR10941497	2826950	Cebuella niveiventris	9bc54d4e751600c9b5bbeca436f21310;86662be928bec8117ff855c430991a54	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/097/ERR10941497/ERR10941497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/097/ERR10941497/ERR10941497_2.fastq.gz	PD_0010
PRJEB59576	SAMEA14464442	ERX10380808	ERR10941499	2826950	Cebuella niveiventris	6b7a4a20bcc12a7e6c5da824a3cfcc18;bb649d8ce4606f7dd072c28231a07418	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10941499/ERR10941499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/099/ERR10941499/ERR10941499_2.fastq.gz	PD_0010
PRJEB59576	SAMEA14464557	ERX10380811	ERR10941502	1547595	Sapajus apella macrocephalus	b6e304bf4e831ccc5ed8773fbbc9d760;05efc041eabae021f9c0bc90cef43e32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10941502/ERR10941502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/002/ERR10941502/ERR10941502_2.fastq.gz	PD_0011
PRJEB59576	SAMEA14464557	ERX10380812	ERR10941503	1547595	Sapajus apella macrocephalus	6629db9d6e5f42f1e7a09bf4d3c940f2;aea5dd0677b5ecd22fa858e1964ff2b1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10941503/ERR10941503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/003/ERR10941503/ERR10941503_2.fastq.gz	PD_0011
