study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA162517	SAMN03072807	SRX758220	SRR1649281	208091	Papio kindae	e258ab17ceb4239f9b66e44c3cffaa38;6adf216971d1929e49f01c8e0b91b48c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1649281/SRR1649281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1649281/SRR1649281_2.fastq.gz	PKIN.00-34449
PRJNA162517	SAMN03072807	SRX758219	SRR1649282	208091	Papio kindae	09ccee82d75479cf0b9779bfbdf8f9e1;883ea138d727c0770a212fb606b08a37	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1649282/SRR1649282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/002/SRR1649282/SRR1649282_2.fastq.gz	PKIN.00-34449
PRJNA162517	SAMN03072807	SRX758220	SRR1649283	208091	Papio kindae	fe50fc0b0923e6da968414075ea490e8;e92faf2f6d36eca90fe0758b2b717d51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1649283/SRR1649283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/003/SRR1649283/SRR1649283_2.fastq.gz	PKIN.00-34449
PRJNA162517	SAMN03072185	SRX758223	SRR1649289	208091	Papio kindae	cad9573a15425b6918e3a6d302937ceb;46eb77210ba49d78d4db40d889431867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1649289/SRR1649289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1649289/SRR1649289_2.fastq.gz	PKIN.00-34474
PRJNA162517	SAMN03460585	SRX982761	SRR1957328	208091	Papio kindae	fded655bf8e26cadbcfbc54e961b31bb;22f2c92dbd942cbef3ef513a4cfed49b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1957328/SRR1957328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1957328/SRR1957328_2.fastq.gz	PKIN.00-37931
PRJNA162517	SAMN03460587	SRX982763	SRR1957330	208091	Papio kindae	b7d51ea2891e591988120e2b4c0becc1;d707c35cb973f33e6a2e2facde878e46	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/000/SRR1957330/SRR1957330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/000/SRR1957330/SRR1957330_2.fastq.gz	PKIN.00-37933
PRJNA162517	SAMN03460588	SRX982764	SRR1957331	208091	Papio kindae	e9f3769801d0d35f2473e1d15e361d5c;61126430ac6497c119e23a7595ffd4b9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR1957331/SRR1957331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR1957331/SRR1957331_2.fastq.gz	PKIN.00-37934
PRJNA162517	SAMN03460592	SRX982768	SRR1957335	208091	Papio kindae	f3a19663b4da382fdcd6c3f68e33cfc5;d91c483351c77bf306a8e3699b10b739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1957335/SRR1957335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1957335/SRR1957335_2.fastq.gz	PKIN.00-37938
PRJNA162517	SAMN03460593	SRX982769	SRR1957336	208091	Papio kindae	b76fbc029fd14ebc548d50e92fa8f581;d542d227c7c3709bcc0d020f9c96f20c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/006/SRR1957336/SRR1957336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/006/SRR1957336/SRR1957336_2.fastq.gz	PKIN.00-37939
PRJNA162517	SAMN03460594	SRX982770	SRR1957337	208091	Papio kindae	5dba23379aeae1129a943f0e759d199e;5b44b9a5b24e7e049946e6a1a5b18e24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/007/SRR1957337/SRR1957337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/007/SRR1957337/SRR1957337_2.fastq.gz	PKIN.00-37940
