study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA54003	SAMN02866416	SRX652598	SRR1514956	100937	Papio papio	55a18f6847a8ae1531d5c7a65a763a8f;5ec5a2193bec496ef7997d92d33bef1a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1514956/SRR1514956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1514956/SRR1514956_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN02866416	SRX652597	SRR1514958	100937	Papio papio	583cdee074e069a46a0b4963c2a23596;03573d225de2d576e56af141f8d507bc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1514958/SRR1514958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1514958/SRR1514958_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN02866416	SRX652597	SRR1514959	100937	Papio papio	ad1a12309951f4047beda16f6ab01999;126d637f617e9fba7763f878044f4872	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1514959/SRR1514959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1514959/SRR1514959_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN03073711	SRX719536	SRR1596302	100937	Papio papio	5abeea2544ff59f53e35f2ed8e92550b;d05c381aa10a6e5f074c7249329aff5d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/002/SRR1596302/SRR1596302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/002/SRR1596302/SRR1596302_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN02866416	SRX652597	SRR1514955	100937	Papio papio	767f19138cfbe8edb17d018207a41d94;485d91e19c6d045cf2cc85cbe58975ad	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1514955/SRR1514955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1514955/SRR1514955_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN03073711	SRX719537	SRR1596304	100937	Papio papio	0ff049224134aea30ddde73bbe4e52cd;d14ebdfdb82b2d7b757baa210c8b306c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/004/SRR1596304/SRR1596304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/004/SRR1596304/SRR1596304_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN02866416	SRX652597	SRR1514957	100937	Papio papio	8b7c5c16e900ceac29e74a48da268724;9325be84f261579782790894c529efe3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1514957/SRR1514957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1514957/SRR1514957_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN03073711	SRX719537	SRR1702721	100937	Papio papio	5cb09b0f7e72790c3e9d7b4096d60542;e081635e9cc18f4215fabe7ed6d84c0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR1702721/SRR1702721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR1702721/SRR1702721_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN03073711	SRX719536	SRR1596301	100937	Papio papio	9e5616fd0adb7cfaa0d5e294b0623880;5bbb371cf4e6d8bc9136b8c4a0fa40d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/001/SRR1596301/SRR1596301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/001/SRR1596301/SRR1596301_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN03073711	SRX719536	SRR1596303	100937	Papio papio	0fb5565a247c1be3b975b6b1814e9575;84cabcf19f72c1975a1c3646344e54b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/003/SRR1596303/SRR1596303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/003/SRR1596303/SRR1596303_2.fastq.gz	PPAP.28-28547
