study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA54005	SAMN02866410	SRX652766	SRR1515161	9555	Papio anubis	58ca974ea351f83f4dcc49ff915750c4;e87b4b44f106ac1fa85e5b346deb6067	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1515161/SRR1515161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1515161/SRR1515161_2.fastq.gz	PANU.00-L142
PRJNA54005	SAMN02866410	SRX652766	SRR1515162	9555	Papio anubis	68c4cf2a913413e457651110d8ed15be;6ebd29a0d98bcf6380b26bc0422b6633	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1515162/SRR1515162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1515162/SRR1515162_2.fastq.gz	PANU.00-L142
PRJNA54005	SAMN02866411	SRX653789	SRR1516199	9555	Papio anubis	2dc57bc342058f2fb9f001bf646e7006;e4d7d8ecb37a0578d72b1c488c228d2d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1516199/SRR1516199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1516199/SRR1516199_2.fastq.gz	PANU.00-LIV5
PRJNA54005	SAMN03073707	SRX758055	SRR1706224	9555	Papio anubis	6c8400e3bea93642b7c78b2047150042;dd16912e3ffad24c26e2252b083387d6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/004/SRR1706224/SRR1706224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/004/SRR1706224/SRR1706224_2.fastq.gz	PANU.00-30877
PRJNA54005	SAMN02866410	SRX803007	SRR1700528	9555	Papio anubis	9a05b69dd3b877bdecf0b690ca801200;a724f8618178decdfe33ebe20c427ae7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/008/SRR1700528/SRR1700528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/008/SRR1700528/SRR1700528_2.fastq.gz	PANU.00-L142
PRJNA54005	SAMN03073708	SRX757482	SRR1754714	9555	Papio anubis	e2dc7ff0c5df46b1980e267b93ea4cfe;9524ad04990598fe68a9301009327e8d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/004/SRR1754714/SRR1754714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR175/004/SRR1754714/SRR1754714_2.fastq.gz	PANU.00-30977
PRJNA54005	SAMN03165176	SRX1033043	SRR2032612	9555	Papio anubis	0124a2de00e5935f190caf7bc6a2a167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/002/SRR2032612/SRR2032612_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032615	9555	Papio anubis	d66311db3e47ab137aee37392bedd03d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/005/SRR2032615/SRR2032615_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032617	9555	Papio anubis	099ca853ac1b0102878a363bf82f5f8c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/007/SRR2032617/SRR2032617_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032620	9555	Papio anubis	467fb7c5cd2ab90975464ca8d3d52d16	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR2032620/SRR2032620_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032622	9555	Papio anubis	e52c6ef4bbc9e542074441991a0c748a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/002/SRR2032622/SRR2032622_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032627	9555	Papio anubis	89a838d84fe3d72cdad3e16d7a648013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/007/SRR2032627/SRR2032627_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032630	9555	Papio anubis	2cafe68f646bc17870e0c7fe47658736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR2032630/SRR2032630_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032631	9555	Papio anubis	62e0619c81ca1a6052a41e1e29277dc9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR2032631/SRR2032631_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032632	9555	Papio anubis	bf2d1ec5f109e153cbda62b78c56a58c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/002/SRR2032632/SRR2032632_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032637	9555	Papio anubis	f94a322ce3850b6683a6b239d6f5c306	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/007/SRR2032637/SRR2032637_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032638	9555	Papio anubis	386896f581b7c279499b729c6700a9ba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/008/SRR2032638/SRR2032638_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032639	9555	Papio anubis	9cb3c963074501eaf6d6cf07d77c3fae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/009/SRR2032639/SRR2032639_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032641	9555	Papio anubis	68b7023576c974d63c8443970a99f941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR2032641/SRR2032641_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032642	9555	Papio anubis	23436c0742adcc9f0eef6f2e084e8170	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/002/SRR2032642/SRR2032642_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032644	9555	Papio anubis	6b67e68bd068b57c6755a24d751d67a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/004/SRR2032644/SRR2032644_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032649	9555	Papio anubis	793fc47442589a2b9e0becdc9ef78201	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/009/SRR2032649/SRR2032649_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032650	9555	Papio anubis	260516c8cc9297e367fe8556d9f07184	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR2032650/SRR2032650_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032654	9555	Papio anubis	8d4e88635f6c031595d560a7513e5ef5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/004/SRR2032654/SRR2032654_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032658	9555	Papio anubis	dbc12e9a2037786064380f717020024f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/008/SRR2032658/SRR2032658_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032659	9555	Papio anubis	1d6032dcbae92fce85aa4919af7106fb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/009/SRR2032659/SRR2032659_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165175	SRX1033044	SRR2032661	9555	Papio anubis	73c529edb49736130877e19755f34244	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR2032661/SRR2032661_subreads.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033044	SRR2032664	9555	Papio anubis	fe60a584bf1e080f06a869e30c428350	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/004/SRR2032664/SRR2032664_consensus.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033044	SRR2032665	9555	Papio anubis	c555c79353cddeb702794fd398b36ae0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/005/SRR2032665/SRR2032665_consensus.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033045	SRR2032670	9555	Papio anubis	543b83414a01ca9718adad311d07d3cb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR2032670/SRR2032670_consensus.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033045	SRR2032671	9555	Papio anubis	f39731d2f56f73e3964df13cd925e1f4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR2032671/SRR2032671_consensus.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033045	SRR2032673	9555	Papio anubis	79dae3afea8788bc5c4951f40b15e941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/003/SRR2032673/SRR2032673_subreads.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033045	SRR2032675	9555	Papio anubis	f2bdea88e08a01ba4d44d57b4e0ec324	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/005/SRR2032675/SRR2032675_subreads.fastq.gz	PANU.00-37521
PRJNA54005	SAMN03165175	SRX1033045	SRR2032676	9555	Papio anubis	08672048ba4f222d8e1e13091f5d2d06	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/006/SRR2032676/SRR2032676_subreads.fastq.gz	PANU.00-37521
