study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA54007	SAMN02866415	SRX649136	SRR1511430	9556	Papio cynocephalus	1daa444564d5ffce63ae767840a69202;85f5a44a94afec980766be63ee0b6a78	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1511430/SRR1511430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1511430/SRR1511430_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866415	SRX649135	SRR1511432	9556	Papio cynocephalus	9f6c98bee57fc9927ad5ea1bb07166ad;4c3fa60ec629490c5d906ae8be2fdd2e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1511432/SRR1511432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1511432/SRR1511432_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866414	SRX651154	SRR1513476	9556	Papio cynocephalus	cc5e0c4f3e73fac20ba6e4cf2a8caa96;6d3117a8904679abf419e101d8352fc6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513476/SRR1513476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513476/SRR1513476_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN03460599	SRX986557	SRR1964629	9556	Papio cynocephalus	ca6145e2927176e281f8403a5436095a;7005bb39b781790d5aa8646ab4c859c3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964629/SRR1964629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964629/SRR1964629_2.fastq.gz	PCYN.00-15978
PRJNA54007	SAMN03460608	SRX986567	SRR1964640	9556	Papio cynocephalus	d4e66a7460033ba5dbb40efd91d1c6cb;1b495db6ecc467956fc712cc140c2d80	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964640/SRR1964640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964640/SRR1964640_2.fastq.gz	PCYN.00-16094
PRJNA54007	SAMN03460606	SRX986566	SRR1964639	9556	Papio cynocephalus	3bdda78f0a89ebd1191d346cafc4b5ce;c7a023b7da63d841057c4bbb618dfe7b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964639/SRR1964639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964639/SRR1964639_2.fastq.gz	PCYN.00-16050
PRJNA54007	SAMN03460598	SRX986560	SRR1964632	9556	Papio cynocephalus	02976748a492f44af130c7b3ed9fad0b;d157da472f3c2b174613073e93bd599e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/002/SRR1964632/SRR1964632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/002/SRR1964632/SRR1964632_2.fastq.gz	PCYN.00-15977
PRJNA54007	SAMN02866415	SRX649135	SRR1511429	9556	Papio cynocephalus	0a3ec50bc51a43580528c10a0e8f5632;4c4c6d4f155e57c03d0a14f557e0f0eb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1511429/SRR1511429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1511429/SRR1511429_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866414	SRX651151	SRR1513473	9556	Papio cynocephalus	00a98e701fa610c42915367e74a43e3f;56b51eee7179f18864a95bdc71bda68d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1513473/SRR1513473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1513473/SRR1513473_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866414	SRX651154	SRR1513475	9556	Papio cynocephalus	381bc1248f68c24897feead8a4154caa;f6f07a0e9d41ab5a14a8ade60e757845	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513475/SRR1513475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513475/SRR1513475_2.fastq.gz	PCYN.10-16066
