study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA54009	SAMN02866413	SRX649292	SRR1511594	36229	Papio ursinus	a52ce5ae0c49c34356deb78817543db8;40fa2639a018e42a413a255ae3f49911	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1511594/SRR1511594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1511594/SRR1511594_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866412	SRX651465	SRR1513798	36229	Papio ursinus	60429ad3e442ded8539d92126eacf7bb;b206933b94256718d5398133a0ce0973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513798/SRR1513798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513798/SRR1513798_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651465	SRR1513799	36229	Papio ursinus	b151c048b3aec8cbddb14053508d2d45;8c06f4421bb1272a5aecbec3733fbd9c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1513799/SRR1513799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1513799/SRR1513799_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651462	SRR1513795	36229	Papio ursinus	895571717a02aae846d182a64eaa9014;334d21e8e10262acadaeea249a27063f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513795/SRR1513795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513795/SRR1513795_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866413	SRX802180	SRR1699635	36229	Papio ursinus	7e59619e86fb61d147ea927c9bbfc7b7;e51729e41554e483898b3807d0cbbfbc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/005/SRR1699635/SRR1699635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/005/SRR1699635/SRR1699635_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866412	SRX651467	SRR1513801	36229	Papio ursinus	fdee599a0b1057e61ea157a0ff22f5c5;76ebdf79fa74edde1aae07affedc5ae5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1513801/SRR1513801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1513801/SRR1513801_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651465	SRR1513802	36229	Papio ursinus	b9ae2fb873e95cfe0aca7b8362785b6d;6e3b863db8623e60658c0ada71744f07	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1513802/SRR1513802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1513802/SRR1513802_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866413	SRX802180	SRR1699634	36229	Papio ursinus	e171eae839546e5b7c79c7d132c359d8;ac127a58e65289faabbd5995b94bd60e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1699634/SRR1699634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1699634/SRR1699634_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866413	SRX649291	SRR1511593	36229	Papio ursinus	6db3e4324a78c081f8c7429bdc3835a2;92556eeb228ec5e66567611644b76fcb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1511593/SRR1511593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1511593/SRR1511593_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866413	SRX649292	SRR1511595	36229	Papio ursinus	fd6d6f04249bd35feec01529351b99b8;627baf0016340112eb696d44e55980a5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1511595/SRR1511595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1511595/SRR1511595_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866412	SRX651463	SRR1513796	36229	Papio ursinus	13761cabcb05ce9f155ebdd4bdc34b3e;619983b57d12eb6eea565d059cd9b9c0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513796/SRR1513796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513796/SRR1513796_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651463	SRR1513797	36229	Papio ursinus	fa5e740a185b93249e70ee1bcba34082;8a50d6547af7284ba20933e401951f6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1513797/SRR1513797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1513797/SRR1513797_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651467	SRR1513800	36229	Papio ursinus	20eaedc9d98b0ae6f7c8894e320e6095;5ab3d471e6a251290a5761f7ade0d5ef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1513800/SRR1513800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1513800/SRR1513800_2.fastq.gz	PURS.26-28697
