id,population,known_ida,sexb,hybrid_statusc,genome_wide_anubis_ancestryd,nodup_mapq10_coveraged,percent_reads_mappedd,BioProject_WGSEQ,Paper_WGSEQ,Accession_WGSEQ,Paper_RNASEQ_1 (Tung_et_al_2015_eLIFE; PRJNA269070),Paper_RNASEQ_2 (Lea_et_al_2018_PNAS; PRJNA480672),Paper_RNASEQ_3 (Anderson_et_al_bioRxiv; PRJNA731520)
AMB_001,Amboseli,TRUE,F,recent,0.493,0.742,99.23,PRJNA755322,this_study,SAMN20814953,NA,NA,NA
AMB_002,Amboseli,TRUE,F,historical,0.317,1.091,99.30,PRJNA755322,this_study,SAMN20815138,NA,SRR7510408,NA
AMB_003,Amboseli,TRUE,M,recent,0.421,0.810,99.10,PRJNA755322,this_study,SAMN20815029,NA,SRR7510410,NA
AMB_004,Amboseli,TRUE,M,historical,0.286,0.907,98.71,PRJNA755322,this_study,SAMN20815279,NA,NA,NA
AMB_005,Amboseli,TRUE,M,recent,0.478,0.962,99.24,PRJNA755322,this_study,SAMN20814964,NA,NA,NA
AMB_006,Amboseli,TRUE,M,historical,0.274,0.987,99.30,PRJNA755322,this_study,SAMN20815313,NA,SRR7510412,NA
AMB_007,Amboseli,TRUE,M,historical,0.295,1.280,99.27,PRJNA755322,this_study,SAMN20815239,NA,NA,NA
AMB_008,Amboseli,TRUE,M,recent,0.522,1.118,99.14,PRJNA755322,this_study,SAMN20814941,NA,SRR7510453,NA
AMB_009,Amboseli,TRUE,F,recent,0.582,0.704,99.30,PRJNA755322,this_study,SAMN20814920,NA,SRR7510455,NA
AMB_010,Amboseli,TRUE,M,recent,0.531,1.028,99.24,PRJNA755322,this_study,SAMN20814934,NA,NA,NA
AMB_011,Amboseli,TRUE,M,recent,0.537,0.802,99.23,PRJNA755322,this_study,SAMN20814932,NA,NA,NA
AMB_012,Amboseli,TRUE,M,historical,0.276,0.954,99.28,PRJNA755322,this_study,SAMN20815307,NA,NA,NA
AMB_013,Amboseli,TRUE,F,unassigned,0.383,1.175,99.17,PRJNA755322,this_study,SAMN20815054,SRR1688522,NA,NA
AMB_014,Amboseli,TRUE,M,recent,0.433,0.823,99.26,PRJNA755322,this_study,SAMN20815017,NA,SRR7510451,NA
AMB_015,Amboseli,TRUE,F,recent,0.388,1.070,99.31,PRJNA755322,this_study,SAMN20815051,NA,NA,NA
AMB_016,Amboseli,TRUE,M,unassigned,0.356,1.263,99.25,PRJNA755322,this_study,SAMN20815080,SRR1688539,NA,NA
AMB_017,Amboseli,TRUE,M,unassigned,0.360,1.298,99.22,PRJNA755322,this_study,SAMN20815076,SRR1688523,NA,NA
AMB_018,Amboseli,TRUE,F,historical,0.291,1.280,99.35,PRJNA755322,this_study,SAMN20815253,NA,NA,NA
AMB_019,Amboseli,TRUE,F,unassigned,0.383,0.995,99.26,PRJNA755322,this_study,SAMN20815056,SRR1688536,NA,NA
AMB_020,Amboseli,TRUE,M,historical,0.288,0.918,99.22,PRJNA755322,this_study,SAMN20815268,NA,NA,NA
AMB_021,Amboseli,TRUE,M,historical,0.303,1.039,99.24,PRJNA755322,this_study,SAMN20815180,SRR1688512,NA,NA
AMB_022,Amboseli,TRUE,F,historical,0.278,1.060,99.28,PRJNA755322,this_study,SAMN20815302,NA,NA,NA
AMB_023,Amboseli,TRUE,F,recent,0.544,1.185,99.27,PRJNA755322,this_study,SAMN20814930,NA,SRR7510447,NA
AMB_024,Amboseli,TRUE,M,recent,0.446,0.843,99.14,PRJNA755322,this_study,SAMN20815001,SRR1688531,NA,NA
AMB_025,Amboseli,TRUE,M,recent,0.368,1.069,98.98,PRJNA755322,this_study,SAMN20815072,NA,SRR7510459,NA
AMB_026,Amboseli,TRUE,M,historical,0.299,0.860,99.31,PRJNA755322,this_study,SAMN20815207,NA,NA,NA
AMB_027,Amboseli,TRUE,M,recent,0.707,1.123,99.33,PRJNA755322,this_study,SAMN20814908,NA,NA,NA
AMB_028,Amboseli,TRUE,M,historical,0.301,1.213,99.24,PRJNA755322,this_study,SAMN20815197,NA,NA,NA
AMB_029,Amboseli,TRUE,F,recent,0.376,1.556,99.30,PRJNA755322,this_study,SAMN20815062,SRR1688518,NA,NA
AMB_030,Amboseli,TRUE,M,recent,0.444,1.306,99.29,PRJNA755322,this_study,SAMN20815003,NA,SRR7510461,NA
AMB_031,Amboseli,TRUE,M,historical,0.302,1.402,99.26,PRJNA755322,this_study,SAMN20815189,NA,NA,NA
AMB_032,Amboseli,TRUE,F,historical,0.288,0.996,99.12,PRJNA755322,this_study,SAMN20815269,SRR1688484,NA,NA
AMB_033,Amboseli,TRUE,F,recent,0.439,1.093,99.26,PRJNA755322,this_study,SAMN20815009,NA,SRR7510463,NA
AMB_034,Amboseli,TRUE,M,historical,0.299,1.362,99.16,PRJNA755322,this_study,SAMN20815205,NA,NA,NA
AMB_035,Amboseli,FALSE,NA,unassigned,0.421,1.095,99.04,PRJNA755322,this_study,SAMN20815027,NA,NA,SRR14608243
AMB_036,Amboseli,TRUE,M,recent,0.637,0.805,98.70,PRJNA755322,this_study,SAMN20814912,NA,SRR7510465,NA
AMB_037,Amboseli,TRUE,F,historical,0.303,1.018,99.25,PRJNA755322,this_study,SAMN20815181,NA,NA,NA
AMB_038,Amboseli,TRUE,F,historical,0.292,1.105,99.30,PRJNA755322,this_study,SAMN20815251,NA,NA,NA
AMB_039,Amboseli,TRUE,M,recent,0.707,0.827,99.29,PRJNA755322,this_study,SAMN20814909,NA,NA,NA
AMB_040,Amboseli,TRUE,F,recent,0.423,0.883,99.25,PRJNA755322,this_study,SAMN20815024,NA,NA,NA
AMB_041,Amboseli,TRUE,F,recent,0.481,1.252,99.25,PRJNA755322,this_study,SAMN20814962,NA,NA,NA
AMB_042,Amboseli,TRUE,F,historical,0.299,1.199,99.25,PRJNA755322,this_study,SAMN20815208,NA,NA,NA
AMB_043,Amboseli,TRUE,F,recent,0.435,1.450,99.27,PRJNA755322,this_study,SAMN20815013,SRR1688507,NA,NA
AMB_044,Amboseli,TRUE,F,recent,0.581,1.387,99.32,PRJNA755322,this_study,SAMN20814922,NA,SRR7510457,NA
AMB_045,Amboseli,TRUE,F,recent,0.411,1.135,99.30,PRJNA755322,this_study,SAMN20815035,NA,SRR7510478,NA
AMB_046,Amboseli,TRUE,F,recent,0.415,1.140,99.33,PRJNA755322,this_study,SAMN20815034,NA,SRR7510476,NA
AMB_047,Amboseli,TRUE,M,historical,0.289,1.051,99.27,PRJNA755322,this_study,SAMN20815265,NA,NA,NA
AMB_048,Amboseli,TRUE,F,recent,0.394,1.045,99.29,PRJNA755322,this_study,SAMN20815045,NA,SRR7510482,NA
AMB_049,Amboseli,TRUE,F,unassigned,0.451,1.165,99.12,PRJNA755322,this_study,SAMN20814994,NA,NA,SRR14608276
AMB_050,Amboseli,TRUE,F,historical,0.323,0.925,99.27,PRJNA755322,this_study,SAMN20815117,NA,NA,SRR14608273
AMB_051,Amboseli,TRUE,F,recent,0.395,1.066,99.34,PRJNA755322,this_study,SAMN20815043,SRR1688527,NA,NA
AMB_052,Amboseli,TRUE,F,recent,0.456,1.218,99.34,PRJNA755322,this_study,SAMN20814985,SRR1688529,NA,NA
AMB_053,Amboseli,TRUE,F,recent,0.283,1.222,99.28,PRJNA755322,this_study,SAMN20815290,NA,NA,NA
AMB_054,Amboseli,TRUE,M,recent,0.382,1.228,99.09,PRJNA755322,this_study,SAMN20815057,SRR1688514,SRR7510474,NA
AMB_055,Amboseli,TRUE,M,historical,0.276,0.913,99.29,PRJNA755322,this_study,SAMN20815306,NA,NA,NA
AMB_056,Amboseli,TRUE,M,recent,0.297,1.067,99.32,PRJNA755322,this_study,SAMN20815225,NA,NA,NA
AMB_057,Amboseli,TRUE,F,recent,0.308,0.686,98.98,PRJNA755322,this_study,SAMN20815155,SRR1688497,NA,NA
AMB_058,Amboseli,TRUE,M,recent,0.466,1.183,99.13,PRJNA755322,this_study,SAMN20814980,NA,NA,SRR14608269
AMB_059,Amboseli,TRUE,F,recent,0.384,1.032,99.31,PRJNA755322,this_study,SAMN20815053,NA,NA,NA
AMB_060,Amboseli,TRUE,M,recent,0.477,1.076,99.30,PRJNA755322,this_study,SAMN20814966,NA,SRR7510492,NA
AMB_061,Amboseli,TRUE,F,recent,0.289,1.197,99.32,PRJNA755322,this_study,SAMN20815267,NA,NA,NA
AMB_062,Amboseli,TRUE,M,recent,0.642,0.943,99.28,PRJNA755322,this_study,SAMN20814911,NA,NA,NA
AMB_063,Amboseli,TRUE,M,recent,0.389,1.006,99.24,PRJNA755322,this_study,SAMN20815050,NA,NA,NA
