library_name,% baboon DNA pre-enrichment
AMB_001,1.10%
AMB_002,1.14%
AMB_003,2.31%
AMB_004,1.21%
AMB_005,0.19%
AMB_006,0.24%
AMB_007,0.22%
AMB_008,2.53%
AMB_009,4.90%
AMB_010,0.46%
AMB_011,1.48%
AMB_012,1.42%
AMB_013,0.71%
AMB_014,0.64%
AMB_015,2.12%
AMB_016,0.25%
AMB_017,0.37%
AMB_018,0.56%
AMB_019,0.64%
AMB_020,1.05%
AMB_021,3.15%
AMB_022,0.25%
AMB_023,0.90%
AMB_024,NA
AMB_025,3.15%
AMB_026,6.63%
AMB_027,0.38%
AMB_028,8.37%
AMB_029,1.06%
AMB_030,1.01%
AMB_031,1.16%
AMB_032,2.98%
AMB_033,1.57%
AMB_034,2.58%
AMB_035,2.60%
AMB_036,0.38%
AMB_037,2.56%
AMB_038,NA
AMB_039,2.13%
AMB_040,3.15%
AMB_041,NA
AMB_042,5.09%
AMB_043,0.25%
AMB_044,3.08%
AMB_045,NA
AMB_046,3.30%
AMB_047,4.42%
AMB_048,1.14%
AMB_049,2.18%
AMB_050,1.18%
AMB_051,5.97%
AMB_052,3.78%
