id,Study,sname
AMB_014,Vilgalys,BIK
AMB_014,Snyder,BIK
AMB_015,Vilgalys,BIO
AMB_015,Snyder,BIO
AMB_082,Vilgalys,JAG
AMB_082,Snyder,JAG
AMB_105,Vilgalys,LAZ
AMB_105,Snyder,LAZ
AMB_106,Vilgalys,LEB
AMB_106,Snyder,LEB
AMB_107,Vilgalys,LEC
AMB_107,Snyder,LEC
AMB_111,Vilgalys,LIM
AMB_111,Snyder,LIM
AMB_114,Vilgalys,LIZ
AMB_114,Snyder,LIZ
AMB_118,Vilgalys,LOF
AMB_118,Snyder,LOF
AMB_121,Vilgalys,LOU
AMB_121,Snyder,LOU
AMB_123,Vilgalys,LOZ
AMB_123,Snyder,LOZ
AMB_127,Vilgalys,LUO
AMB_127,Snyder,LUO
AMB_184,Vilgalys,OTI
AMB_184,Snyder,OTI
AMB_239,Vilgalys,VIP
AMB_239,Snyder,VIP
AMB_254,Vilgalys,WAM
AMB_254,Snyder,WAM
AMB_255,Vilgalys,WAP
AMB_255,Snyder,WAP
AMB_257,Vilgalys,WEA
AMB_257,Snyder,WEA
AMB_258,Vilgalys,WEG
AMB_258,Snyder,WEG
AMB_260,Vilgalys,WER
AMB_260,Snyder,WER
AMB_261,Vilgalys,WEW
AMB_261,Snyder,WEW
AMB_272,Vilgalys,WRI
AMB_272,Snyder,WRI
AMB_274,Vilgalys,WYN
AMB_274,Snyder,WYN
AMB_274,Snyder,WYN
AMB_282,Vilgalys,ZIM
AMB_282,Snyder,ZIM
AMB_283,Vilgalys,ZUR
AMB_283,Snyder,ZUR
AMB_293,Wall,ELV
AMB_293,Snyder,ELV
AMB_308,Wall,YOK
AMB_308,Snyder,YOK
AMB_309,Wall,WOL
AMB_309,Snyder,WOL
AMB_310,Snyder,LIT
AMB_310,Snyder,LIT
AMB_311,Snyder,HAP
AMB_311,Snyder,HAP
AMB_317,Vilgalys,VOY
AMB_317,Snyder,VOY
