"library_name","sname","ncbi_id","index","capture_effort","notes","did"
"AOS_16","JAG","AMB_001","1","capture1","\N","12503"
"AOS_17","LIZ","AMB_002","2","capture1","\N","12501"
"AOS_18","VIP","AMB_003","3","capture1","\N","12500"
"AOS_19","WEA","AMB_004","4","capture1","\N","12513"
"AOS_20","PEC","AMB_005","5","capture1","\N","12486"
"AOS_21","DEA","AMB_006","6","capture1","\N","12494"
"AOS_22","PEB","AMB_007","7","capture1","\N","12487"
"AOS_23","VOY","AMB_008","8","capture1","\N","12493"
"AOS_24","WAW","AMB_009","9","capture1","\N","12489"
"AOS_25","AMA","AMB_010","10","capture1","\N","12498"
"AOS_26","YOK","AMB_011","11","capture1","\N","12546"
"AOS_27","WRY","AMB_012","12","capture1","\N","12542"
"AOS_28","ZUR","AMB_013","13","capture1","\N","12538"
"AOS_29","ELV","AMB_014","14","capture1","\N","12548"
"AOS_30","GYP","AMB_015","15","capture1","\N","12508"
"AOS_31","WOK","AMB_016","16","capture1","\N","12484"
"AOS_32","LOU","AMB_017","17","capture1","\N","12544"
"AOS_33","WYN","AMB_018","18","capture1","\N","12540"
"AOS_34","WER","AMB_019","19","capture1","\N","12464"
"AOS_35","WOL","AMB_020","20","capture1","\N","12550"
"AOS_36","LAZ","AMB_021","21","capture1","\N","12504"
"AOS_37","NA","AMB_022","22","capture1","\N","12490"
"AOS_38","ISR","AMB_023","23","capture1","\N","12505"
"AOS_39","BEA","AMB_024","24","capture1","\N","12491"
"AOS_56","GOS","AMB_025","25","capture2","\N","12713"
"AOS_57","BOT","AMB_026","26","capture2","\N","12710"
"AOS_57","BOT","AMB_026","26","capture2","\N","12756"
"AOS_58","LOZ","AMB_027","27","capture2","\N","12757"
"AOS_59","NGA","AMB_028","28","capture2","\N","12726"
"AOS_59","NGA","AMB_028","28","capture2","\N","12711"
"AOS_60","OTI","AMB_029","29","capture2","\N","12714"
"AOS_60","OTI","AMB_029","29","capture2","\N","12699"
"AOS_61","BIK","AMB_030","30","capture2","\N","12738"
"AOS_61","BIK","AMB_030","30","capture2","\N","12719"
"AOS_61","BIK","AMB_030","30","capture2","\N","12708"
"AOS_62","BIO","AMB_031","31","capture2","\N","12723"
"AOS_62","BIO","AMB_031","31","capture2","\N","12740"
"AOS_63","LOS","AMB_032","32","capture2","\N","12700"
"AOS_63","LOS","AMB_032","32","capture2","\N","12753"
"AOS_64","LUO","AMB_033","33","capture2","\N","12715"
"AOS_64","LUO","AMB_033","33","capture2","\N","12683"
"AOS_65","BOC","AMB_034","34","capture2","\N","12680"
"AOS_65","BOC","AMB_034","34","capture2","\N","12733"
"AOS_65","BOC","AMB_034","34","capture2","\N","12744"
"AOS_66","LEC","AMB_035","35","capture2","\N","12698"
"AOS_66","LEC","AMB_035","35","capture2","\N","12752"
"AOS_67","LOF","AMB_036","36","capture2","\N","12739"
"AOS_67","LOF","AMB_036","36","capture2","\N","12720"
"AOS_67","LOF","AMB_036","36","capture2","\N","12687"
"AOS_68","LIM","AMB_037","37","capture2","\N","12681"
"AOS_69","ZIM","AMB_038","38","capture2","\N","12737"
"AOS_69","ZIM","AMB_038","38","capture2","\N","12686"
"AOS_70","LEB","AMB_039","39","capture2","\N","12721"
"AOS_70","LEB","AMB_039","39","capture2","\N","12689"
"AOS_71","WYN","AMB_040","40","capture2","\N","12694"
"AOS_71","WYN","AMB_040","40","capture2","\N","12728"
"AOS_72","WOB","AMB_041","41","capture2","poor/contaminated sample","12729"
"AOS_72","WOB","AMB_041","41","capture2","poor/contaminated sample","12695"
"AOS_73","BUR","AMB_042","42","capture2","\N","12732"
"AOS_73","BUR","AMB_042","42","capture2","\N","12717"
"AOS_73","BUR","AMB_042","42","capture2","\N","12736"
"AOS_73","BUR","AMB_042","42","capture2","\N","12685"
"AOS_74","WEN","AMB_043","43","capture2","poor/contaminated sample","12741"
"AOS_74","WEN","AMB_043","43","capture2","poor/contaminated sample","12724"
"AOS_74","WEN","AMB_043","43","capture2","poor/contaminated sample","12692"
"AOS_75","WEW","AMB_044","44","capture2","\N","12747"
"AOS_75","WEW","AMB_044","44","capture2","\N","12735"
"AOS_75","WEW","AMB_044","44","capture2","\N","12716"
"AOS_75","WEW","AMB_044","44","capture2","\N","12684"
"AOS_76","WUM","AMB_045","45","capture2","\N","12701"
"AOS_76","WUM","AMB_045","45","capture2","\N","12754"
"AOS_77","WYO","AMB_046","46","capture2","\N","12742"
"AOS_77","WYO","AMB_046","46","capture2","\N","12725"
"AOS_77","WYO","AMB_046","46","capture2","\N","12693"
"AOS_78","WRI","AMB_047","47","capture2","\N","12759"
"AOS_79","WAP","AMB_048","48","capture2","\N","12755"
"AOS_79","WAP","AMB_048","48","capture2","\N","12705"
"AOS_80","WAM","AMB_049","49","capture2","\N","12748"
"AOS_81","PUY","AMB_050","50","capture2","\N","12718"
"AOS_82","BUL","AMB_051","51","capture2","\N","12690"
"AOS_82","BUL","AMB_051","51","capture2","\N","12722"
"AOS_83","WEG","AMB_052","52","capture2","\N","12734"
"NA","LOU","AMB_053","\N","* paired pre-capture library","\N","\N"
"NA","YOK","AMB_054","\N","* paired pre-capture library","\N","\N"
"NA","WRI","AMB_055","\N","* paired pre-capture library","\N","\N"
"NA","WYN_2","AMB_056","\N","* paired pre-capture library","\N","\N"
"NA","WER","AMB_057","\N","* paired pre-capture library","\N","\N"
"NA","WEN","AMB_058","\N","* paired pre-capture library","\N","\N"
