"table_s1_id","sname","known_id"
"AMB_065","GIZ","TRUE"
"AMB_303","KAG","TRUE"
"AMB_293","ELV","TRUE"
"AMB_027","DAG","TRUE"
"AMB_039","DUB","TRUE"
"AMB_300","APO","TRUE"
"AMB_307","GAM","TRUE"
"AMB_079","IDI","TRUE"
"AMB_062","GAB","TRUE"
"AMB_036","DJI","TRUE"
"AMB_092","KOA","TRUE"
"AMB_304","LUI","TRUE"
"AMB_287","ZIZ","TRUE"
"AMB_357","LUS","TRUE"
"AMB_201","RAJ","TRUE"
"AMB_238","VIN","TRUE"
"AMB_402","YEN","TRUE"
"AMB_315","ALE","TRUE"
"AMB_009","APP","TRUE"
"AMB_283","ZUR","TRUE"
"AMB_044","ECL","TRUE"
"AMB_308","YOK","TRUE"
"AMB_286","ATE","TRUE"
"AMB_289","HON","TRUE"
"AMB_215","SCO","TRUE"
"AMB_064","GET","TRUE"
"AMB_290","NIK","TRUE"
"AMB_228","UNY","TRUE"
"AMB_373","DID","TRUE"
"AMB_390","EQU","TRUE"
"AMB_415","WUA","TRUE"
"AMB_023","CON","TRUE"
"AMB_199","QUA","TRUE"
"AMB_011","AUS","TRUE"
"AMB_428","YAY","TRUE"
"AMB_010","ARS","TRUE"
"AMB_217","SOR","TRUE"
"AMB_364","NA","FALSE"
"AMB_329","KAF","TRUE"
"AMB_281","ZAM","TRUE"
"AMB_125","LUF","TRUE"
"AMB_389","AKE","TRUE"
"AMB_008","ANC","TRUE"
"AMB_348","GUR","TRUE"
"AMB_223","TOR","TRUE"
"AMB_231","VAP","TRUE"
"AMB_301","GAN","TRUE"
"AMB_374","DRI","TRUE"
"AMB_353","DAO","TRUE"
"AMB_138","MAH","TRUE"
"AMB_317","VOY","TRUE"
"AMB_414","TRU","TRUE"
"AMB_309","WOL","TRUE"
"AMB_203","NA","FALSE"
"AMB_114","LIZ","TRUE"
"AMB_001","ABB","TRUE"
"AMB_246","VUG","TRUE"
"AMB_427","RAF","TRUE"
"AMB_273","WYA","TRUE"
"AMB_412","NTA","TRUE"
"AMB_193","POA","TRUE"
"AMB_422","PUP","TRUE"
"AMB_205","RIE","TRUE"
"AMB_271","WON","TRUE"
"AMB_041","DUX","TRUE"
"AMB_344","GUF","TRUE"
"AMB_005","AGE","TRUE"
"AMB_279","YOG","TRUE"
"AMB_060","FRU","TRUE"
"AMB_145","NAW","TRUE"
"AMB_095","KOR","TRUE"
"AMB_262","WHE","TRUE"
"AMB_135","LYE","TRUE"
"AMB_091","KNO","TRUE"
"AMB_076","HOK","TRUE"
"AMB_369","RIS","TRUE"
"AMB_372","KIW","TRUE"
"AMB_420","WEY","TRUE"
"AMB_320","WAU","TRUE"
"AMB_068","HAV","TRUE"
"AMB_094","KOM","TRUE"
"AMB_221","TER","TRUE"
"AMB_058","FIL","TRUE"
"AMB_164","NON","TRUE"
"AMB_297","PUT","TRUE"
"AMB_153","NET","TRUE"
"AMB_169","NUN","TRUE"
"AMB_149","NEH","TRUE"
"AMB_052","EVA","TRUE"
"AMB_419","DUV","TRUE"
"AMB_117","LOD","TRUE"
"AMB_147","NEA","TRUE"
"AMB_259","WEI","TRUE"
"AMB_265","WIP","TRUE"
"AMB_163","NOM","TRUE"
"AMB_182","OPH","TRUE"
"AMB_128","LUR","TRUE"
"AMB_049","EPI","TRUE"
"AMB_375","EDG","TRUE"
"AMB_258","WEG","TRUE"
"AMB_122","LOX","TRUE"
"AMB_172","NYS","TRUE"
"AMB_136","LYM","TRUE"
"AMB_132","LUZ","TRUE"
"AMB_024","COO","TRUE"
"AMB_302","HOL","TRUE"
"AMB_233","VEI","TRUE"
"AMB_030","DEG","TRUE"
"AMB_397","AXE","TRUE"
"AMB_333","DIC","TRUE"
"AMB_298","WEM","TRUE"
"AMB_391","HAG","TRUE"
"AMB_167","NOZ","TRUE"
"AMB_336","CAI","TRUE"
"AMB_033","DIB","TRUE"
"AMB_130","LUV","TRUE"
"AMB_296","NGU","TRUE"
"AMB_133","LYB","TRUE"
"AMB_157","NIR","TRUE"
"AMB_043","EAS","TRUE"
"AMB_185","PAI","TRUE"
"AMB_218","SUE","TRUE"
"AMB_384","IGU","TRUE"
"AMB_014","BIK","TRUE"
"AMB_180","OJU","TRUE"
"AMB_261","WEW","TRUE"
"AMB_139","MBE","TRUE"
"AMB_323","IDA","TRUE"
"AMB_260","WER","TRUE"
"AMB_207","RIK","TRUE"
"AMB_040","DUN","TRUE"
"AMB_282","ZIM","TRUE"
"AMB_066","GLO","TRUE"
"AMB_035","NA","FALSE"
"AMB_294","OXY","TRUE"
"AMB_358","LIX","TRUE"
"AMB_003","ADD","TRUE"
"AMB_401","CEN","TRUE"
"AMB_255","WAP","TRUE"
"AMB_115","LOB","TRUE"
"AMB_266","WIR","TRUE"
"AMB_046","ELA","TRUE"
"AMB_045","EID","TRUE"
"AMB_243","VOM","TRUE"
"AMB_410","YED","TRUE"
"AMB_432","RUN","TRUE"
"AMB_350","EMI","TRUE"
"AMB_280","YUG","TRUE"
"AMB_295","DIX","TRUE"
"AMB_194","POK","TRUE"
"AMB_338","DOJ","TRUE"
"AMB_051","EUR","TRUE"
"AMB_275","YAB","TRUE"
"AMB_048","ENV","TRUE"
"AMB_356","FAU","TRUE"
"AMB_077","HUC","TRUE"
"AMB_235","VEX","TRUE"
"AMB_119","LOG","TRUE"
"AMB_063","GER","TRUE"
"AMB_015","BIO","TRUE"
"AMB_342","RWI","TRUE"
"AMB_059","FLA","TRUE"
"AMB_013","BAT","TRUE"
"AMB_405","WOD","TRUE"
"AMB_019","CAC","TRUE"
"AMB_054","FAM","TRUE"
"AMB_150","NEL","TRUE"
"AMB_241","VIY","TRUE"
"AMB_131","LUX","TRUE"
"AMB_305","VET","TRUE"
"AMB_327","WOE","TRUE"
"AMB_029","DED","TRUE"
"AMB_321","DOH","TRUE"
"AMB_403","RIG","TRUE"
"AMB_129","LUT","TRUE"
"AMB_152","NA","FALSE"
"AMB_388","USA","TRUE"
"AMB_376","KUZ","TRUE"
"AMB_071","HIA","TRUE"
"AMB_257","WEA","TRUE"
"AMB_219","TAL","TRUE"
"AMB_025","COT","TRUE"
"AMB_186","PAM","TRUE"
"AMB_411","VAK","TRUE"
"AMB_291","LOL","TRUE"
"AMB_224","TUS","TRUE"
"AMB_017","BUT","TRUE"
"AMB_229","VAD","TRUE"
"AMB_254","WAM","TRUE"
"AMB_278","YEL","TRUE"
"AMB_016","BOL","TRUE"
"AMB_191","PIT","TRUE"
"AMB_330","KWA","TRUE"
"AMB_222","THR","TRUE"
"AMB_121","LOU","TRUE"
"AMB_319","KUK","TRUE"
"AMB_144","NAR","TRUE"
"AMB_176","OCE","TRUE"
"AMB_107","LEC","TRUE"
"AMB_413","TAY","TRUE"
"AMB_242","VOG","TRUE"
"AMB_252","WAK","TRUE"
"AMB_352","LAS","TRUE"
"AMB_253","WAL","TRUE"
"AMB_111","LIM","TRUE"
"AMB_087","KIJ","TRUE"
"AMB_276","YAI","TRUE"
"AMB_206","RIF","TRUE"
"AMB_188","PEN","TRUE"
"AMB_426","ACC","TRUE"
"AMB_187","PAS","TRUE"
"AMB_084","KAD","TRUE"
"AMB_277","YAR","TRUE"
"AMB_210","SAD","TRUE"
"AMB_250","WAD","TRUE"
"AMB_089","KIT","TRUE"
"AMB_306","ARA","TRUE"
"AMB_436","KUS","TRUE"
"AMB_225","TUZ","TRUE"
"AMB_190","PER","TRUE"
"AMB_075","HOB","TRUE"
"AMB_299","DON","TRUE"
"AMB_326","KOB","TRUE"
"AMB_080","ILI","TRUE"
"AMB_220","TEL","TRUE"
"AMB_104","LAX","TRUE"
"AMB_184","OTI","TRUE"
"AMB_127","LUO","TRUE"
"AMB_418","FAB","TRUE"
"AMB_050","ERM","TRUE"
"AMB_155","NIG","TRUE"
"AMB_398","MSW","TRUE"
"AMB_198","PUR","TRUE"
"AMB_175","OBL","TRUE"
"AMB_173","NYU","TRUE"
"AMB_269","WOB","TRUE"
"AMB_165","NOO","TRUE"
"AMB_105","LAZ","TRUE"
"AMB_160","NOB","TRUE"
"AMB_409","TAM","TRUE"
"AMB_370","DIR","TRUE"
"AMB_143","NAP","TRUE"
"AMB_270","WOC","TRUE"
"AMB_442","DAC","TRUE"
"AMB_437","DAI","TRUE"
"AMB_264","WIF","TRUE"
"AMB_110","LEO","TRUE"
"AMB_197","PRO","TRUE"
"AMB_244","VOR","TRUE"
"AMB_433","MOL","TRUE"
"AMB_002","ACI","TRUE"
"AMB_395","NUR","TRUE"
"AMB_351","LUK","TRUE"
"AMB_408","NIY","TRUE"
"AMB_090","KIZ","TRUE"
"AMB_256","WAS","TRUE"
"AMB_272","WRI","TRUE"
"AMB_170","NUT","TRUE"
"AMB_292","KER","TRUE"
"AMB_425","KAK","TRUE"
"AMB_267","WIV","TRUE"
"AMB_100","LAR","TRUE"
"AMB_368","UDI","TRUE"
"AMB_423","ZID","TRUE"
"AMB_069","HEI","TRUE"
"AMB_093","KOL","TRUE"
"AMB_232","VAZ","TRUE"
"AMB_102","LAU","TRUE"
"AMB_057","FAX","TRUE"
"AMB_183","OST","TRUE"
"AMB_438","UNG","TRUE"
"AMB_101","LAT","TRUE"
"AMB_385","PUM","TRUE"
"AMB_209","RWA","TRUE"
"AMB_083","JIT","TRUE"
"AMB_441","ROS","TRUE"
"AMB_177","OCT","TRUE"
"AMB_439","TAI","TRUE"
"AMB_434","DAN","TRUE"
"AMB_334","NOV","TRUE"
"AMB_181","OMO","TRUE"
"AMB_285","GOD","TRUE"
"AMB_106","LEB","TRUE"
"AMB_431","DAZ","TRUE"
"AMB_361","EKE","TRUE"
"AMB_086","KES","TRUE"
"AMB_335","JES","TRUE"
"AMB_112","LIN","TRUE"
"AMB_208","RUT","TRUE"
"AMB_158","NIX","TRUE"
"AMB_216","SEZ","TRUE"
"AMB_347","MAT","TRUE"
"AMB_103","LAW","TRUE"
"AMB_021","CAR","TRUE"
"AMB_037","DOT","TRUE"
"AMB_345","MEL","TRUE"
"AMB_085","KAT","TRUE"
"AMB_161","NOK","TRUE"
"AMB_367","NA","FALSE"
"AMB_070","HEK","TRUE"
"AMB_159","NJU","TRUE"
"AMB_355","UJI","TRUE"
"AMB_031","DEN","TRUE"
"AMB_399","NA","FALSE"
"AMB_406","DAD","TRUE"
"AMB_354","U05","TRUE"
"AMB_072","HIB","TRUE"
"AMB_268","WIZ","TRUE"
"AMB_429","UTO","TRUE"
"AMB_332","THU","TRUE"
"AMB_028","DAS","TRUE"
"AMB_383","ULT","TRUE"
"AMB_078","HUR","TRUE"
"AMB_440","BET","TRUE"
"AMB_098","LAN","TRUE"
"AMB_140","MLO","TRUE"
"AMB_174","OBI","TRUE"
"AMB_196","POS","TRUE"
"AMB_034","DIS","TRUE"
"AMB_073","HIZ","TRUE"
"AMB_026","CUI","TRUE"
"AMB_042","EAG","TRUE"
"AMB_116","LOC","TRUE"
"AMB_359","REG","TRUE"
"AMB_118","LOF","TRUE"
"AMB_416","UMB","TRUE"
"AMB_166","NOP","TRUE"
"AMB_371","NOD","TRUE"
"AMB_430","JEW","TRUE"
"AMB_134","LYC","TRUE"
"AMB_211","SAF","TRUE"
"AMB_386","JUP","TRUE"
"AMB_393","NA","FALSE"
"AMB_381","DOL","TRUE"
"AMB_377","DUK","TRUE"
"AMB_400","JER","TRUE"
"AMB_404","MLI","TRUE"
"AMB_251","WAG","TRUE"
"AMB_056","FAV","TRUE"
"AMB_213","SCE","TRUE"
"AMB_312","KEL","TRUE"
"AMB_349","NYM","TRUE"
"AMB_365","MEN","TRUE"
"AMB_337","LAV","TRUE"
"AMB_067","HAN","TRUE"
"AMB_417","U04","TRUE"
"AMB_141","MON","TRUE"
"AMB_148","NEE","TRUE"
