"library_name","ncbi_id","source","id"
"Sample_60187","AMB_059","Amboseli","HONEY"
"Sample_60202","AMB_060","Amboseli","NIKE"
"Sample_60282","AMB_061","Amboseli","LOLLIPOP"
"Sample_60302","AMB_062","Amboseli","KERNEL"
"Sample_60326","AMB_063","Amboseli","ELVIS"
"Sample_60430","AMB_064","Amboseli","OXYGEN"
"Sample_60510","AMB_065","Amboseli","DIXON"
"Sample_60591","AMB_066","Amboseli","NGULE"
"Sample_60608","AMB_067","Amboseli","PUTZ"
"Sample_60636","AMB_068","Amboseli","WEMA"
"Sample_60811","AMB_069","Amboseli","DONNA"
"Sample_60820","AMB_070","Amboseli","KEITH"
"Sample_60898","AMB_071","Amboseli","APOLLO"
"Sample_60911","AMB_072","Amboseli","GANJA"
"Sample_60913","AMB_073","Amboseli","HOLLAND"
"Sample_60916","AMB_074","Amboseli","KAGAME"
"Sample_60932","AMB_075","Amboseli","LUIGI"
"Sample_60960","AMB_076","Amboseli","VET"
"Sample_60995","AMB_077","Amboseli","ARAB"
"Sample_61004","AMB_078","Amboseli","GAMBIA"
"Sample_61005","AMB_079","Amboseli","YOKEL"
"Sample_61006","AMB_080","Amboseli","WOLF"
"Sample_90122","AMB_081","TNPRC","BI06"
"Sample_90128","AMB_082","TNPRC","BL60"
"Sample_90158","AMB_083","TNPRC","DM36"
"Sample_90216","AMB_084","TNPRC","AD87"
"Sample_90252","AMB_085","TNPRC","AF74"
"Sample_90256","AMB_086","TNPRC","DH79"
"Sample_90456","AMB_087","Masai Mara","BP00247"
"Sample_90458","AMB_088","Masai Mara","BP00245"
"Sample_90460","AMB_089","Masai Mara","BP00243"
"Sample_90461","AMB_090","Masai Mara","BP00242"
"Sample_90462","AMB_091","Masai Mara","BP00237"
"Sample_90463","AMB_092","Masai Mara","BP00236"
"Sample_90464","AMB_093","Masai Mara","BP00234"
"Sample_90465","AMB_094","Mikumi","PR00899"
"Sample_90471","AMB_095","Mikumi","PR00888"
"Sample_90472","AMB_096","Mikumi","PR00884"
"Sample_90473","AMB_097","Mikumi","PR00883"
"Sample_90477","AMB_098","Mikumi","PR00917"
"Sample_90478","AMB_099","Mikumi","PR00916"
"Sample_90479","AMB_100","Mikumi","PR00911"
"Sample_90480","AMB_101","Mikumi","PR00908"
"Sample_90483","AMB_102","Mikumi","PR00901"
