Run,Assay Type,BioProject,BioSample,Center Name,Consent,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Scientific_Name,SRA Study,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Name,Submitter_Id,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,AvgSpotLen,Bases,Bytes,common_name,lat_lon,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Specimen_voucher,isolate,sub_species,organism,type-material,AssemblyName
ERR11506432,WGS,PRJEB59576,SAMEA14464401,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,"2023-06-01,2023-06-01",2023-06-01,"2023-06-01,2023-06-01",ERX10912312,Illumina NovaSeq 6000,3685AB,PAIRED,RANDOM,GENOMIC,Ateles chamek,ILLUMINA,2023-09-13T00:00:00Z,PD_0074,Ateles chamek,ERP144627,,,,,,,,,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2023-09-22T06:15:00Z,1,302,14030371870,5280160693,black spider monkey,"-9.9783, -56.0814",Brazil,South America,Brazil,UFMT4016,RVR96,,Ateles chamek,,
ERR11507678,WGS,PRJEB59576,SAMEA112483262,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,"2023-06-01,2023-06-01",2023-06-02,"2023-06-01,2023-06-01",ERX10913558,Illumina NovaSeq 6000,NA,SINGLE,RANDOM,GENOMIC,Papio kindae,ILLUMINA,2023-09-13T00:00:00Z,PD_0794_BAB,Papio kindae,ERP144627,,,,,,,,,,,,,,,,,Kinda baboon,,,,,,,,Papio kindae,,
ERR11493831,WGS,PRJEB59576,SAMEA112483085,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900007,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483085,Macaca radiata,ERP144627,SAMEA112483085,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0556,PD_0556,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2023-09-24T12:45:00Z,1,300,22958760403,8010824561,bonnet macaque,,,,,,,,,,
ERR11493832,WGS,PRJEB59576,SAMEA112483085,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900008,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483085,Macaca radiata,ERP144627,SAMEA112483085,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0556,PD_0556,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2023-09-24T12:44:00Z,1,300,22842969735,7965628732,bonnet macaque,,,,,,,,,,
ERR11493833,WGS,PRJEB59576,SAMEA112483085,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900009,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483085,Macaca radiata,ERP144627,SAMEA112483085,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0556,PD_0556,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2023-09-24T12:43:00Z,1,300,22915629327,8014261270,bonnet macaque,,,,,,,,,,
ERR11493834,WGS,PRJEB59576,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900010,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483086,Macaca radiata,ERP144627,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0557,PD_0557,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2023-09-24T12:50:00Z,1,300,29537516197,10433328404,bonnet macaque,,,,,,,,,,
ERR11493835,WGS,PRJEB59576,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900011,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483086,Macaca radiata,ERP144627,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0557,PD_0557,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2023-09-24T12:37:00Z,1,300,29160822898,10334763440,bonnet macaque,,,,,,,,,,
ERR11493836,WGS,PRJEB59576,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900012,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483086,Macaca radiata,ERP144627,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0557,PD_0557,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2023-09-24T12:54:00Z,1,300,29080454249,10306941977,bonnet macaque,,,,,,,,,,
ERR11493837,WGS,PRJEB59576,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900013,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483086,Macaca radiata,ERP144627,SAMEA112483086,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0557,PD_0557,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2023-09-24T12:44:00Z,1,300,29208352135,10375981984,bonnet macaque,,,,,,,,,,
ERR11493838,WGS,PRJEB59576,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),public,2023-06-01,2023-06-01,2023-06-01,2023-06-01,ERX10900014,Illumina NovaSeq 6000,NA,PAIRED,RANDOM,GENOMIC,Macaca radiata,ILLUMINA,2023-09-16T00:00:00Z,SAMEA112483087,Macaca radiata,ERP144627,SAMEA112483087,IBE(CSIC-UNIVERSITAT POMPEU FABRA),IBE(CSIC-UNIVERSITAT POMPEU FABRA),2023-06-01T00:20:09Z,2023-06-01T00:20:09Z,public,PD_0558,PD_0558,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2023-09-24T12:51:00Z,1,300,26717741178,9466876304,bonnet macaque,,,,,,,,,,
