Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,isolate,Age,BIOMATERIAL_PROVIDER,BioSampleModel,tissue,BREED,COUNTRY,strain,isolation_source,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name
SRR1648316,WGS,200,16785255400,PRJNA54005,SAMN03073708,10768359039,BCM,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX757482,Illumina HiSeq 2000,IWG_BABJR.30977-1_1pA,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2014-11-11T00:00:00Z,2014-11-11T19:02:00Z,1,PANU.00-30977,Not determined,SRP026666,30977,Adult,"Dr. James G. Else\, Yerkes National Primate Research Center (YNPRC)",Model organism or animal,Blood,undomisticated primate,,,,Kenya,Africa,Kenya
SRR1648317,WGS,200,20093118000,PRJNA54005,SAMN03073708,12780790516,BCM,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX757482,Illumina HiSeq 2000,IWG_BABJR.30977-1_1pA,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2014-11-11T00:00:00Z,2014-11-11T19:03:00Z,1,PANU.00-30977,Not determined,SRP026666,30977,Adult,"Dr. James G. Else\, Yerkes National Primate Research Center (YNPRC)",Model organism or animal,Blood,undomisticated primate,,,,Kenya,Africa,Kenya
SRR1648937,WGS,200,16906809000,PRJNA54005,SAMN03073707,10930563324,BCM,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX758055,Illumina HiSeq 2000,IWG_BABJR.30877-1_1pA,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2014-11-12T00:00:00Z,2014-11-12T13:59:00Z,1,PANU.00-30877,Not determined,SRP026666,30877,Adult,"Dr. James G. Else\, Yerkes National Primate Research Center (YNPRC)",Model organism or animal,Blood,undomisticated primate,,,,Kenya,Africa,Kenya
SRR1648938,WGS,200,8661492800,PRJNA54005,SAMN03073707,5076501171,BCM,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX758056,Illumina HiSeq 2000,IWG_BABJR.30877-1_2pA,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2014-11-12T00:00:00Z,2014-11-12T13:55:00Z,1,PANU.00-30877,Not determined,SRP026666,30877,Adult,"Dr. James G. Else\, Yerkes National Primate Research Center (YNPRC)",Model organism or animal,Blood,undomisticated primate,,,,Kenya,Africa,Kenya
SRR1648939,WGS,200,19395197800,PRJNA54005,SAMN03073707,11355307176,BCM,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX758056,Illumina HiSeq 2000,IWG_BABJR.30877-1_2pA,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2014-11-12T00:00:00Z,2014-11-12T14:05:00Z,1,PANU.00-30877,Not determined,SRP026666,30877,Adult,"Dr. James G. Else\, Yerkes National Primate Research Center (YNPRC)",Model organism or animal,Blood,undomisticated primate,,,,Kenya,Africa,Kenya
SRR1648940,WGS,200,20592005800,PRJNA54005,SAMN03073707,12901539117,BCM,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX758055,Illumina HiSeq 2000,IWG_BABJR.30877-1_1pA,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2014-11-12T00:00:00Z,2014-11-12T15:09:00Z,1,PANU.00-30877,Not determined,SRP026666,30877,Adult,"Dr. James G. Else\, Yerkes National Primate Research Center (YNPRC)",Model organism or animal,Blood,undomisticated primate,,,,Kenya,Africa,Kenya
SRR5308397,WGS,267,75159038,PRJNA54005,SAMN02981400,177173219,BCM,public,"sff,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308398,WGS,266,57124382,PRJNA54005,SAMN02981400,135252431,BCM,public,"sff,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308399,WGS,266,63964125,PRJNA54005,SAMN02981400,151430886,BCM,public,"run.zq,sra,sff","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308400,WGS,267,66477612,PRJNA54005,SAMN02981400,154534397,BCM,public,"sra,sff,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308401,WGS,269,62978454,PRJNA54005,SAMN02981400,137059662,BCM,public,"sra,sff,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308402,WGS,267,78880160,PRJNA54005,SAMN02981400,185724081,BCM,public,"sff,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308403,WGS,266,17995458,PRJNA54005,SAMN02981400,43016884,BCM,public,"run.zq,sff,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308404,WGS,270,26225738,PRJNA54005,SAMN02981400,63437359,BCM,public,"run.zq,sff,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX2609524,454 GS FLX,4WG_PHAM.00_000sA,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:20:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
SRR5308405,WGS,266,62043397,PRJNA54005,SAMN02981400,146493899,BCM,public,"run.zq,sra,sff","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX2609521,454 GS FLX,4WG_PHAM.00_000sB,SINGLE,RANDOM,GENOMIC,Papio anubis,LS454,2017-03-02T00:00:00Z,2017-03-02T13:21:00Z,1,gb|AHZZ00000000.1,female,SRP026666,1X1155,,,,,,"USA: Southwest National Primate Research Center\, San Antonio",,,,,
