Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,create_date,version,BREED,Cultivar,dev_stage,Ecotype,strain
SRR6956852,not collected,WGS,198,6859495186,PRJNA433868,SAMN08887640,Model organism or animal,4270504835,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3899930,Illumina HiSeq 2500,16112,16112,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16112,not collected,SRP132725,missing,2018-04-06T22:21:00Z,1,,,,,
SRR6956853,not collected,WGS,300,43578133200,PRJNA433868,SAMN08887751,Model organism or animal,18144305516,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3899929,HiSeq X Ten,15975,15975,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15975,not collected,SRP132725,missing,2018-04-06T23:19:00Z,1,,,,,
SRR6956854,not collected,WGS,198,11534964734,PRJNA433868,SAMN08887656,Model organism or animal,7161187464,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX3899928,Illumina HiSeq 2500,16486,16486,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16486,not collected,SRP132725,missing,2018-04-06T22:33:00Z,1,,,,,
SRR6956855,not collected,WGS,198,18590294853,PRJNA433868,SAMN08887716,Model organism or animal,11642103839,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX3899927,Illumina HiSeq 2500,16244,16244,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16244,not collected,SRP132725,missing,2018-04-06T22:51:00Z,1,,,,,
SRR6956856,not collected,WGS,198,11249379241,PRJNA433868,SAMN08887670,Model organism or animal,7810401709,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3899926,Illumina HiSeq 2500,16304,16304,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16304,not collected,SRP132725,missing,2018-04-06T22:33:00Z,1,,,,,
SRR6956857,not collected,WGS,198,10291992742,PRJNA433868,SAMN08887655,Model organism or animal,7287400675,ZRHANNA'S SHARED SUBMISSIONS,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX3899925,Illumina HiSeq 2500,16316,16316,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,16316,not collected,SRP132725,missing,2018-04-06T22:31:00Z,1,,,,,
SRR6956865,not collected,WGS,198,35348543767,PRJNA433868,SAMN08887759,Model organism or animal,23903299614,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX3899917,Illumina HiSeq 2500,16372,16372,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16372,not collected,SRP132725,missing,2018-04-06T23:36:00Z,1,,,,,
SRR6956866,not collected,WGS,300,26243887500,PRJNA433868,SAMN08887724,Model organism or animal,11320768703,ZRHANNA'S SHARED SUBMISSIONS,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX3899916,HiSeq X Ten,16744,16744,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,16744,not collected,SRP132725,missing,2018-04-06T22:59:00Z,1,,,,,
SRR6956867,not collected,WGS,300,16770243900,PRJNA433868,SAMN08887669,Model organism or animal,7001736449,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3899915,HiSeq X Ten,15979,15979,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-07T00:00:00Z,15979,not collected,SRP132725,missing,2018-04-06T22:37:00Z,1,,,,,
SRR6956868,not collected,WGS,198,7973979618,PRJNA433868,SAMN08887641,Model organism or animal,5040335639,ZRHANNA'S SHARED SUBMISSIONS,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3899914,Illumina HiSeq 2500,17024,17024,PAIRED,RANDOM,GENOMIC,Papio anubis,ILLUMINA,2018-04-06T00:00:00Z,17024,not collected,SRP132725,missing,2018-04-06T22:26:00Z,1,,,,,
