study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA162517	SAMN03072806	SRX758221	SRR1649284	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1649284/SRR1649284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/004/SRR1649284/SRR1649284_2.fastq.gz	PKIN.00-34472
PRJNA162517	SAMN03072806	SRX758222	SRR1649287	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1649287/SRR1649287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1649287/SRR1649287_2.fastq.gz	PKIN.00-34472
PRJNA162517	SAMN03072185	SRX758223	SRR1649290	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1649290/SRR1649290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/000/SRR1649290/SRR1649290_2.fastq.gz	PKIN.00-34474
PRJNA162517	SAMN03072185	SRX758224	SRR1649291	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1649291/SRR1649291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/001/SRR1649291/SRR1649291_2.fastq.gz	PKIN.00-34474
PRJNA162517	SAMN03460586	SRX982762	SRR1957329	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR1957329/SRR1957329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR1957329/SRR1957329_2.fastq.gz	PKIN.00-37932
PRJNA162517	SAMN03460591	SRX982767	SRR1957334	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/004/SRR1957334/SRR1957334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/004/SRR1957334/SRR1957334_2.fastq.gz	PKIN.00-37937
PRJNA162517	SAMN03072807	SRX758220	SRR1649279	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1649279/SRR1649279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/009/SRR1649279/SRR1649279_2.fastq.gz	PKIN.00-34449
PRJNA162517	SAMN03460590	SRX982766	SRR1957333	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/003/SRR1957333/SRR1957333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/003/SRR1957333/SRR1957333_2.fastq.gz	PKIN.00-37936
PRJNA162517	SAMN03460595	SRX982771	SRR1957338	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1957338/SRR1957338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1957338/SRR1957338_2.fastq.gz	PKIN.00-37942
PRJNA162517	SAMN03460589	SRX982765	SRR1957332	208091	Papio kindae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/002/SRR1957332/SRR1957332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/002/SRR1957332/SRR1957332_2.fastq.gz	PKIN.00-37935
