study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA54003	SAMN02866416	SRX652598	SRR1514956	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1514956/SRR1514956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1514956/SRR1514956_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN02866416	SRX652597	SRR1514958	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1514958/SRR1514958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1514958/SRR1514958_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN02866416	SRX652597	SRR1514959	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1514959/SRR1514959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1514959/SRR1514959_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN03073711	SRX719536	SRR1596302	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/002/SRR1596302/SRR1596302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/002/SRR1596302/SRR1596302_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN03073711	SRX719537	SRR1596304	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/004/SRR1596304/SRR1596304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/004/SRR1596304/SRR1596304_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN02866416	SRX652597	SRR1514955	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1514955/SRR1514955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1514955/SRR1514955_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN02866416	SRX652597	SRR1514957	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1514957/SRR1514957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1514957/SRR1514957_2.fastq.gz	PPAP.30-30388
PRJNA54003	SAMN03073711	SRX719536	SRR1596301	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/001/SRR1596301/SRR1596301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/001/SRR1596301/SRR1596301_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN03073711	SRX719536	SRR1596303	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/003/SRR1596303/SRR1596303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/003/SRR1596303/SRR1596303_2.fastq.gz	PPAP.28-28547
PRJNA54003	SAMN03073711	SRX719537	SRR1702721	100937	Papio papio	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR1702721/SRR1702721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/001/SRR1702721/SRR1702721_2.fastq.gz	PPAP.28-28547
