study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA54005	SAMN03073708	SRX757482	SRR1648316	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1648316/SRR1648316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/006/SRR1648316/SRR1648316_2.fastq.gz	PANU.00-30977
PRJNA54005	SAMN03073708	SRX757482	SRR1648317	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1648317/SRR1648317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1648317/SRR1648317_2.fastq.gz	PANU.00-30977
PRJNA54005	SAMN03073707	SRX758055	SRR1648937	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1648937/SRR1648937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR164/007/SRR1648937/SRR1648937_2.fastq.gz	PANU.00-30877
PRJNA54005	SAMN03165176	SRX1033043	SRR2032614	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/004/SRR2032614/SRR2032614_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032621	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/001/SRR2032621/SRR2032621_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032623	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/003/SRR2032623/SRR2032623_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032624	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/004/SRR2032624/SRR2032624_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032626	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/006/SRR2032626/SRR2032626_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032640	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR2032640/SRR2032640_subreads.fastq.gz	PANU.00-37522
PRJNA54005	SAMN03165176	SRX1033043	SRR2032643	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/003/SRR2032643/SRR2032643_subreads.fastq.gz	PANU.00-37522
