study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA54007	SAMN02866415	SRX649135	SRR1511432	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1511432/SRR1511432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1511432/SRR1511432_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866415	SRX649136	SRR1511430	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1511430/SRR1511430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1511430/SRR1511430_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866414	SRX651154	SRR1513476	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513476/SRR1513476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513476/SRR1513476_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN03460599	SRX986557	SRR1964629	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964629/SRR1964629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964629/SRR1964629_2.fastq.gz	PCYN.00-15978
PRJNA54007	SAMN03460598	SRX986560	SRR1964632	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/002/SRR1964632/SRR1964632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/002/SRR1964632/SRR1964632_2.fastq.gz	PCYN.00-15977
PRJNA54007	SAMN03460606	SRX986566	SRR1964639	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964639/SRR1964639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/009/SRR1964639/SRR1964639_2.fastq.gz	PCYN.00-16050
PRJNA54007	SAMN03460608	SRX986567	SRR1964640	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964640/SRR1964640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964640/SRR1964640_2.fastq.gz	PCYN.00-16094
PRJNA54007	SAMN03460600	SRX986558	SRR1964630	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964630/SRR1964630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/000/SRR1964630/SRR1964630_2.fastq.gz	PCYN.00-15982
PRJNA54007	SAMN03460601	SRX986559	SRR1964631	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964631/SRR1964631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964631/SRR1964631_2.fastq.gz	PCYN.00-15991
PRJNA54007	SAMN03460604	SRX986562	SRR1964635	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/005/SRR1964635/SRR1964635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/005/SRR1964635/SRR1964635_2.fastq.gz	PCYN.00-16011
PRJNA54007	SAMN03460607	SRX986565	SRR1964638	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/008/SRR1964638/SRR1964638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/008/SRR1964638/SRR1964638_2.fastq.gz	PCYN.00-16053
PRJNA54007	SAMN02866415	SRX649136	SRR1511431	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1511431/SRR1511431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1511431/SRR1511431_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866414	SRX651152	SRR1513474	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1513474/SRR1513474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1513474/SRR1513474_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866414	SRX651154	SRR1513478	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513478/SRR1513478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513478/SRR1513478_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866415	SRX802047	SRR1699449	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1699449/SRR1699449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/009/SRR1699449/SRR1699449_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866415	SRX649135	SRR1511429	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1511429/SRR1511429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1511429/SRR1511429_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN02866414	SRX651151	SRR1513473	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1513473/SRR1513473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1513473/SRR1513473_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866414	SRX651154	SRR1513475	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513475/SRR1513475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513475/SRR1513475_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866414	SRX651154	SRR1513477	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1513477/SRR1513477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1513477/SRR1513477_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866414	SRX651157	SRR1513479	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1513479/SRR1513479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1513479/SRR1513479_2.fastq.gz	PCYN.10-16066
PRJNA54007	SAMN02866415	SRX802047	SRR1699450	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR1699450/SRR1699450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/000/SRR1699450/SRR1699450_2.fastq.gz	PCYN.16-16098
PRJNA54007	SAMN03460603	SRX986561	SRR1964634	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/004/SRR1964634/SRR1964634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/004/SRR1964634/SRR1964634_2.fastq.gz	PCYN.00-16005
PRJNA54007	SAMN03460602	SRX986563	SRR1964636	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/006/SRR1964636/SRR1964636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/006/SRR1964636/SRR1964636_2.fastq.gz	PCYN.00-15997
PRJNA54007	SAMN03460605	SRX986564	SRR1964637	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/007/SRR1964637/SRR1964637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/007/SRR1964637/SRR1964637_2.fastq.gz	PCYN.00-16036
PRJNA54007	SAMN03460609	SRX986568	SRR1964641	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964641/SRR1964641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR196/001/SRR1964641/SRR1964641_2.fastq.gz	PCYN.00-16169
