study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA54009	SAMN02866413	SRX649291	SRR1511593	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1511593/SRR1511593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1511593/SRR1511593_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866412	SRX651463	SRR1513796	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513796/SRR1513796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1513796/SRR1513796_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651463	SRR1513797	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1513797/SRR1513797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1513797/SRR1513797_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651467	SRR1513800	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1513800/SRR1513800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1513800/SRR1513800_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866413	SRX649292	SRR1511595	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1511595/SRR1511595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1511595/SRR1511595_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866412	SRX651465	SRR1513798	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513798/SRR1513798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1513798/SRR1513798_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651465	SRR1513799	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1513799/SRR1513799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1513799/SRR1513799_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866413	SRX802180	SRR1699635	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/005/SRR1699635/SRR1699635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/005/SRR1699635/SRR1699635_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866413	SRX649292	SRR1511594	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1511594/SRR1511594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1511594/SRR1511594_2.fastq.gz	PURS.28-28755
PRJNA54009	SAMN02866412	SRX651462	SRR1513795	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513795/SRR1513795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1513795/SRR1513795_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651467	SRR1513801	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1513801/SRR1513801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1513801/SRR1513801_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866412	SRX651465	SRR1513802	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1513802/SRR1513802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1513802/SRR1513802_2.fastq.gz	PURS.26-28697
PRJNA54009	SAMN02866413	SRX802180	SRR1699634	36229	Papio ursinus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1699634/SRR1699634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR169/004/SRR1699634/SRR1699634_2.fastq.gz	PURS.28-28755
