sample_alias,sample_accession
10046,SAMN08519662
10173,SAMN11119506
10192,SAMN09742522
10316,SAMN08519674
10349,SAMN09742523
10418,SAMN08519675
10482,SAMN08519659
10488,SAMN09742524
10489,SAMN12703513
10842,SAMN08519676
10987,SAMN12703514
10998,SAMN09426443
11004,SAMN09426444
11158,SAMN09426445
11562,SAMN08519730
11608,SAMN08887691
11693,SAMN08519677
11752,SAMN09426446
11769,SAMN08519731
11770,SAMN09606625
11885,SAMN12703504
11887,SAMN09710567
11967,SAMN09426447
11981,SAMN08887764
12138,SAMN09426448
12141,SAMN09426449
12152,SAMN08519732
12156,SAMN08887657
12175,SAMN08519678
12218,SAMN08519862
12226,SAMN08519733
12242,SAMN11119513
12282,SAMN08519734
12423,SAMN08519735
12427,SAMN09426450
12457,SAMN08519626
12473,SAMN08887732
12481,SAMN08519654
12491,SAMN08887668
12552,SAMN08887700
12656,SAMN09710568
12681,SAMN08519835
12717,SAMN08519679
12719,SAMN08519736
12720,SAMN08519737
12869,SAMN09606626
12962,SAMN08519802
12963,SAMN09426451
13068,SAMN08887654
13103,SAMN09426452
13110,SAMN09426453
13152,SAMN09606627
13169,SAMN09426454
13225,SAMN09426455
13226,SAMN08519636
13228,SAMN09606628
13245,SAMN09710569
13264,SAMN09606629
13387,SAMN09426456
13463,SAMN08887756
13487,SAMN09426457
13570,SAMN09606630
13575,SAMN09426458
13589,SAMN09426459
13597,SAMN08519663
13618,SAMN09606631
13644,SAMN08519680
13694,SAMN08519803
13698,SAMN09742525
13914,SAMN08519681
13942,SAMN08887719
13951,SAMN08887676
13951,SAMN12703515
13988,SAMN08887729
14012,SAMN08887720
14013,SAMN08887721
14016,SAMN08519664
14022,SAMN09742526
14058,SAMN08519836
14062,SAMN08519738
14068,SAMN09710570
14068,SAMN12703505
14076,SAMN08887663
14077,SAMN08519645
14154,SAMN08519682
14158,SAMN09426460
14167,SAMN08519683
14172,SAMN08519804
14181,SAMN08519684
14182,SAMN09742527
14191,SAMN08887677
14204,SAMN12703516
14250,SAMN08887692
14273,SAMN08887709
14276,SAMN09710571
14282,SAMN08887710
14290,SAMN08519660
14324,SAMN08519739
14330,SAMN08887693
14342,SAMN08519661
14343,SAMN09426461
14350,SAMN08519805
14351,SAMN08887661
14355,SAMN08519666
14369,SAMN08519740
14379,SAMN08887678
14427,SAMN08887694
14435,SAMN12703517
14437,SAMN08887662
14460,SAMN09742528
14473,SAMN08519741
14498,SAMN08887658
14526,SAMN08519685
14642,SAMN08519686
14652,SAMN09710572
14668,SAMN08887733
14690,SAMN08887757
14712,SAMN09710573
14740,SAMN08887701
14753,SAMN08887711
14756,SAMN12703518
14795,SAMN08887712
14800,SAMN08887645
14833,SAMN08519742
14847,SAMN08519631
14850,SAMN08519859
14852,SAMN08519637
14860,SAMN08887758
14863,SAMN09606632
14865,SAMN08887713
