study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJEB59576	SAMEA112482860	ERX10381238	ERR10941929	9565	Theropithecus gelada	127934853ccaee1e56a21af4d7eea105;0b7dd85f11b9e5ce88b9017e85b844b8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/029/ERR10941929/ERR10941929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/029/ERR10941929/ERR10941929_2.fastq.gz	PD_0067
PRJEB59576	SAMEA112482952	ERX10382024	ERR10942715	9555	Papio anubis	eaa3acd67c5c5825ab12b105d19ac027;40ed93dc6f5258d620df40d6bef784a2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10942715/ERR10942715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/015/ERR10942715/ERR10942715_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482952	ERX10382026	ERR10942717	9555	Papio anubis	bda2f2f35144af1be98b4fe599a954e0;0f9bb9bb7b8fbbcda3600cdcbe46098e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10942717/ERR10942717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/017/ERR10942717/ERR10942717_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482952	ERX10382028	ERR10942719	9555	Papio anubis	091e14c72b766eaca3ccc2021cd7a321;8c2a8ed9f627772c2aaf547911e3ea84	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/019/ERR10942719/ERR10942719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/019/ERR10942719/ERR10942719_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482952	ERX10382029	ERR10942720	9555	Papio anubis	709d28ada92035f8296b61da8a0bbd82;cefabe835f1c3fef56c18b3e88264062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/020/ERR10942720/ERR10942720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/020/ERR10942720/ERR10942720_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482952	ERX10382030	ERR10942721	9555	Papio anubis	4ef7cd3eafa320625f864260fd8b5224;accfc3b21f9fc8f40f7efda05c347e8c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/021/ERR10942721/ERR10942721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/021/ERR10942721/ERR10942721_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482952	ERX10382031	ERR10942722	9555	Papio anubis	7d89c4d8d81ad38344d978aac6572ac3;fef675779659af1a9ccf7cdc9be4f162	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10942722/ERR10942722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/022/ERR10942722/ERR10942722_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482952	ERX10382032	ERR10942723	9555	Papio anubis	e8366aa266237422433077bcff9a99d5;f7bfc498b1c06d0db20a63a57f19df76	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/023/ERR10942723/ERR10942723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/023/ERR10942723/ERR10942723_2.fastq.gz	PD_0199
PRJEB59576	SAMEA112482953	ERX10382033	ERR10942724	9555	Papio anubis	400aeb5e6b47573e73759cf7b083d95b;b628502d9fc8dd8891896d845e7210f2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/024/ERR10942724/ERR10942724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/024/ERR10942724/ERR10942724_2.fastq.gz	PD_0200
PRJEB59576	SAMEA112482953	ERX10382040	ERR10942731	9555	Papio anubis	e020b2e8b64cb80c2dc4ede2800cf5ac;1ed61a698e39b99a5cf8ee920bd0af94	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10942731/ERR10942731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/031/ERR10942731/ERR10942731_2.fastq.gz	PD_0200
