study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA295782	SAMN04095971	SRX1307847	SRR2565851	9556	Papio cynocephalus	5c3a0ccf125b680447373dbff350487c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565851/SRR2565851.fastq.gz	AMB_001
PRJNA295782	SAMN04095972	SRX1307848	SRR2565852	9556	Papio cynocephalus	55177aca56b30fde2632412139ca6664	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565852/SRR2565852.fastq.gz	AMB_002
PRJNA295782	SAMN04095974	SRX1307850	SRR2565854	9556	Papio cynocephalus	0a7485d13ca5100d44b9b6c9a8d0c210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565854/SRR2565854.fastq.gz	AMB_004
PRJNA295782	SAMN04095978	SRX1307854	SRR2565858	9556	Papio cynocephalus	081852315761630f0d7375aab5ab9160	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565858/SRR2565858.fastq.gz	AMB_008
PRJNA295782	SAMN04095979	SRX1307855	SRR2565859	9556	Papio cynocephalus	bfba98d81eefb8da820f853e4008585f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565859/SRR2565859.fastq.gz	AMB_009
PRJNA295782	SAMN04095980	SRX1307856	SRR2565860	9556	Papio cynocephalus	efbd04cb9ab91804299a7f6131c94716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565860/SRR2565860.fastq.gz	AMB_010
PRJNA295782	SAMN04095981	SRX1307857	SRR2565861	9556	Papio cynocephalus	39cfe1e55552ec8522b92d66527499ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565861/SRR2565861.fastq.gz	AMB_011
PRJNA295782	SAMN04095984	SRX1307860	SRR2565864	9556	Papio cynocephalus	77e51b2fe8d0ecdbff052f4c6055c4d3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565864/SRR2565864.fastq.gz	AMB_014
PRJNA295782	SAMN04095985	SRX1307861	SRR2565865	9556	Papio cynocephalus	dd3a3877d773efe62ad402fa66a72cfc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565865/SRR2565865.fastq.gz	AMB_015
PRJNA295782	SAMN04095986	SRX1307862	SRR2565866	9556	Papio cynocephalus	5578dbc3773563c4d9385666ca1b2a35	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565866/SRR2565866.fastq.gz	AMB_016
PRJNA295782	SAMN04095988	SRX1307864	SRR2565868	9556	Papio cynocephalus	ff57c5c56f2e2db732552a93711bea0c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565868/SRR2565868.fastq.gz	AMB_018
PRJNA295782	SAMN04095996	SRX1307872	SRR2565876	9556	Papio cynocephalus	aa54071fb576c2e27d6a2b16bea67c1c;f3808b624e43231cec1077940db8858b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565876/SRR2565876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565876/SRR2565876_2.fastq.gz	AMB_026
PRJNA295782	SAMN04095999	SRX1307875	SRR2565879	9556	Papio cynocephalus	cfada042c7ff371f688d74453bbf4d97;2647ceb9cdf550e70132066884c022bf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565879/SRR2565879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565879/SRR2565879_2.fastq.gz	AMB_029
PRJNA295782	SAMN04096005	SRX1307881	SRR2565885	9556	Papio cynocephalus	5340a93e1316a4dc6692638a34699199;7ea7ddce6684fcf2ea2e5bd71abcd876	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565885/SRR2565885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565885/SRR2565885_2.fastq.gz	AMB_035
PRJNA295782	SAMN04096006	SRX1307882	SRR2565886	9556	Papio cynocephalus	915f0a1fa0fa6a35491d07b59b8ad90d;504cf8c68bf080fb36c657ef072e3a73	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565886/SRR2565886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565886/SRR2565886_2.fastq.gz	AMB_036
PRJNA295782	SAMN04096009	SRX1307885	SRR2565889	9556	Papio cynocephalus	074d3795e0a18f224a3187cf767a6dbb;d03e99de6fde4a4a3bedf280ea185ff7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565889/SRR2565889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565889/SRR2565889_2.fastq.gz	AMB_039
PRJNA295782	SAMN04096011	SRX1307887	SRR2565891	9556	Papio cynocephalus	52aabadadb4d63278d77ecf6570ff032;a43b1f30528118750a1133f611a56b8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565891/SRR2565891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565891/SRR2565891_2.fastq.gz	AMB_041
