study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA308870	SAMN04452796	SRX1564977	SRR3151898	9556	Papio cynocephalus	35dbd4ee5a6bbe15de5ff858f4ac5c55;472014536eb5ee468977b2698d29c4d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151898/SRR3151898_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151898/SRR3151898_2.fastq.gz	Sample_60430
PRJNA308870	SAMN04452797	SRX1564978	SRR3151899	9556	Papio cynocephalus	4bec5c9bdd15cc490e8c329a74d2ac4a;d6e5082958538f440104751ceb1910a8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151899/SRR3151899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151899/SRR3151899_2.fastq.gz	Sample_60510
PRJNA308870	SAMN04452799	SRX1564980	SRR3151901	9556	Papio cynocephalus	23d0f1487585c197c856d6c3d4d02714;8f58edd386c2fb78db991fd6a8af922a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151901/SRR3151901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151901/SRR3151901_2.fastq.gz	Sample_60608
PRJNA308870	SAMN04452804	SRX1564985	SRR3151906	9556	Papio cynocephalus	c5f9f311d49287964547a9c072b5f854;b9e7779fdaec5df3f94fddcfb99029d6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151906/SRR3151906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151906/SRR3151906_2.fastq.gz	Sample_60911
PRJNA308870	SAMN04452805	SRX1564986	SRR3151907	9556	Papio cynocephalus	463c45135ef8dc84a5550c969f5f3f28;03e3086f76419abaf7e9be5e45596c1c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151907/SRR3151907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151907/SRR3151907_2.fastq.gz	Sample_60913
PRJNA308870	SAMN04452806	SRX1564987	SRR3151908	9556	Papio cynocephalus	f67d03f1587819c28298981d30c750fe;a3c079a26b519f5c2eb62f7a1f7f43a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151908/SRR3151908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151908/SRR3151908_2.fastq.gz	Sample_60916
PRJNA308870	SAMN04452810	SRX1564991	SRR3151912	9556	Papio cynocephalus	2e4846fb5893b92471bfd1fedcc3902e;0bacaebb520f5bee5047cd7bd306efe4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151912/SRR3151912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151912/SRR3151912_2.fastq.gz	Sample_61004
PRJNA308870	SAMN04452812	SRX1564993	SRR3151914	9556	Papio cynocephalus	797be95a582bcfdba19efa121cae73a0;295417da56f18aff87aaeb915dd4d327	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151914/SRR3151914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151914/SRR3151914_2.fastq.gz	Sample_61006
PRJNA308870	SAMN04452815	SRX1564996	SRR3151917	9556	Papio cynocephalus	a8a28ccd9da52617ccbf9cc945c2f1cb;9737ebf3c1e5dd72b6bcd282557984f5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151917/SRR3151917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151917/SRR3151917_2.fastq.gz	Sample_90158
PRJNA308870	SAMN04452816	SRX1564997	SRR3151918	9556	Papio cynocephalus	c99e11586694183a29b29329302db66c;15f7806089ffe814e5091e4ac8e319db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151918/SRR3151918_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151918/SRR3151918_2.fastq.gz	Sample_90216
