Seq-ID,Local ID,Genus,Species,Origin,GPS coordinates (latitude),GPS coordinates (longitude),Sex
PD_0067,1043,Theropithecus,gelada,captive,,,M
PD_0199,09SNF1101115,Papio,anubis,"Serengeti, Tanzania",S02.28761,E034.68870,F
PD_0200,11SNF1101115,Papio,anubis,"Serengeti, Tanzania",S02.26867,E034.66942,F
PD_0201,19SNM1131115,Papio,anubis,"Serengeti, Tanzania",S02.32102,E034.84388,M
PD_0202,20SNF1131115,Papio,anubis,"Serengeti, Tanzania",S02.32102,E034.84367,F
PD_0203,21SNF1151115,Papio,anubis,"Serengeti, Tanzania",S02.29965,E034.78592,F
PD_0204,03ANM1080815,Papio,anubis,"Arusha, Tanzania",S03.23696,E036.85302,M
PD_0205,05ANF1030116,Papio,anubis,"Arusha, Tanzania",S03.23438,E036.85582,F
PD_0206,09ANF1040116,Papio,anubis,"Arusha, Tanzania",S03.27550,E036.89670,F
PD_0207,12ANM1050116,Papio,anubis,"Arusha, Tanzania",S03.23622,E036.85692,M
PD_0208,04NCF1140516,Papio,anubis,"Ngorongoro, Tanzania",S03.22653,E035.50597,F
PD_0209,05NCF1150516,Papio,anubis,"Ngorongoro, Tanzania",S03.15231,E035.60008,F
PD_0210,09NCF8170516,Papio,anubis,"Ngorongoro, Tanzania",S03.29935,E035.59225,F
PD_0211,12NCF5210317,Papio,anubis,"Ngorongoro, Tanzania",S03.30111,E035.59233,F
PD_0212,18NCF8220317,Papio,anubis,"Ngorongoro, Tanzania",S03.29973,E035.59223,F
PD_0213,07RUF1090716,Papio,cynocephalus,"Ruaha, Tanzania",S07.68278,E034.93070,F
PD_0214,09RUF1100716,Papio,cynocephalus,"Ruaha, Tanzania",S07.68085,E034.92972,F
PD_0215,13RUM1130716,Papio,cynocephalus,"Ruaha, Tanzania",S07.60178,E034.90200,M
PD_0216,16RUF8140716,Papio,cynocephalus,"Ruaha, Tanzania",S07.59980,E034.90375,F
PD_0217,17RUM5140716,Papio,cynocephalus,"Ruaha, Tanzania",S07.59862,E034.88440,M
PD_0218,02GNM1200916,Papio,anubis,"Gombe, Tanzania",S04.63918 ,E029.63076,M
PD_0219,03GNF8200916,Papio,anubis,"Gombe, Tanzania",S04.63888,E029.63070,F
PD_0220,08GNM1210916,Papio,anubis,"Gombe, Tanzania",S04.66618 ,E029.62386,M
PD_0221,09GNF1210916,Papio,anubis,"Gombe, Tanzania",S04.66689 ,E029.62393,F
PD_0222,10GNF1210916,Papio,anubis,"Gombe, Tanzania",S04.66666 ,E029.62395,F
PD_0223,02UNM1220616,Papio,cynocephalus,"Udzungwa, Tanzania",S07.84488,E036.88652,M
PD_0224,23UNF1120317,Papio,cynocephalus,"Udzungwa, Tanzania",S07.49594,E036.56725,F
PD_0225,24UNF1150317,Papio,cynocephalus,"Udzungwa, Tanzania",S07.81512,E036.89523,F
PD_0226,25UNF1150317,Papio,cynocephalus,"Udzungwa, Tanzania",S07.84805,E036.88613,F
PD_0227,27UNM1160317,Papio,cynocephalus,"Udzungwa, Tanzania",S07.80575,E036.89683,M
PD_0228,01MNM1300916,Papio,cynocephalus,"Mahale, Tanzania",S06.11885 ,E029.73054,M
PD_0229,02MNM1300916,Papio,cynocephalus,"Mahale, Tanzania",S06.11899 ,E029.72996,M
PD_0230,04MNM1300916,Papio,cynocephalus,"Mahale, Tanzania",S06.11903 ,E029.73032,M
PD_0231,09MNM1011016,Papio,cynocephalus,"Mahale, Tanzania",S06.11735 ,E029.73055,M
PD_0232,14MNF1041016,Papio,cynocephalus,"Mahale, Tanzania",S06.03722 ,E029.74063,F
PD_0233,05KNM1121016,Papio,cynocephalus,"Katavi, Tanzania",S06.63357 ,E031.14192,M
PD_0234,10KNM1131016,Papio,cynocephalus,"Katavi, Tanzania",S06.63435 ,E031.14276,M
PD_0235,01SGM1270217,Papio,cynocephalus,"Selous, Tanzania",S08.46428,E038.55282,M
PD_0236,04SGM2030317,Papio,cynocephalus,"Selous, Tanzania",S07.53590,E037.76624,M
PD_0237,07SGF1050317,Papio,cynocephalus,"Selous, Tanzania",S07.74555,E038.19652,F
