study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA433868	SAMN12703538	SRX6809755	SRR10076337	9555	Papio anubis	90f9df52797027a25a1e06724c54a26b;3b5c38e8f5552fe33a7a6db34b99ae5d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/037/SRR10076337/SRR10076337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/037/SRR10076337/SRR10076337_2.fastq.gz	8307
PRJNA433868	SAMN12703537	SRX6809754	SRR10076338	9555	Papio anubis	093a67af370bb9a6982821dfe4fd650f;1df1c6ffe72dcd5f3aae107d8013a1d9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/038/SRR10076338/SRR10076338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/038/SRR10076338/SRR10076338_2.fastq.gz	7625
PRJNA433868	SAMN12703526	SRX6809737	SRR10076355	9555	Papio anubis	5bfa893f9dbfe284ef001bdfb36fb9d3;e2f25fcf97338544fead36cd68e29e25	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/055/SRR10076355/SRR10076355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/055/SRR10076355/SRR10076355_2.fastq.gz	16853
PRJNA433868	SAMN12703525	SRX6809736	SRR10076356	9555	Papio anubis	513b6e1bb85b42e162d0765e3f800b4a;e88f9dbabb483620f62cd90746f5cdae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/056/SRR10076356/SRR10076356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/056/SRR10076356/SRR10076356_2.fastq.gz	16413
PRJNA433868	SAMN12703520	SRX6809731	SRR10076361	9555	Papio anubis	5a26ec53736448e8ae5d4a39ed2ed072;60f2f18f83d0710d292facdf0d644177	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/061/SRR10076361/SRR10076361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/061/SRR10076361/SRR10076361_2.fastq.gz	1X1230
PRJNA433868	SAMN12703519	SRX6809730	SRR10076362	9555	Papio anubis	13109b45b1759376cc4479c8a20f5434;7508b3ae90639bc24e25aef3f4d11736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/062/SRR10076362/SRR10076362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/062/SRR10076362/SRR10076362_2.fastq.gz	1X0843
PRJNA433868	SAMN12703518	SRX6809729	SRR10076363	9555	Papio anubis	a7e6a2665aee12a32b942a89eaebc865;ff092394168e3aa9b5d3c07be09601de	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/063/SRR10076363/SRR10076363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/063/SRR10076363/SRR10076363_2.fastq.gz	14756
PRJNA433868	SAMN12703515	SRX6809724	SRR10076368	9555	Papio anubis	ecff92fd96e95f6139242dce9c406549;7ecc65f4f65ab877e40fd7f8f8d845a6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/068/SRR10076368/SRR10076368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/068/SRR10076368/SRR10076368_2.fastq.gz	13951
PRJNA433868	SAMN12703511	SRX6809720	SRR10076372	9555	Papio anubis	0c495ecf94a95f674d0b7e4942f25c5e;faab661cc7bf7f69757138617810148a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/072/SRR10076372/SRR10076372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/072/SRR10076372/SRR10076372_2.fastq.gz	1X0830
PRJNA433868	SAMN15217255	SRX8533011	SRR11999473	9555	Papio anubis	93281414e056ec5b2df8945ef827737c;e37411282bf1962d4e1c79db869fae76	ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/073/SRR11999473/SRR11999473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/073/SRR11999473/SRR11999473_2.fastq.gz	7311
PRJNA433868	SAMN08887720	SRX8534336	SRR12001098	9555	Papio anubis	d330e7fe1d8155bf4bb4e3ea8409cc8c;b00b2ed9ce7bdb6dd327f8c72743c789	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/098/SRR12001098/SRR12001098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/098/SRR12001098/SRR12001098_2.fastq.gz	14012
PRJNA433868	SAMN08887640	SRX3899930	SRR6956852	9555	Papio anubis	3371b8da13dc423b093f74409e844e01;3bae1e5ac2a965ca0c8c523eacddad13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/002/SRR6956852/SRR6956852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/002/SRR6956852/SRR6956852_2.fastq.gz	16112
PRJNA433868	SAMN08887716	SRX3899927	SRR6956855	9555	Papio anubis	9f782868b2dbb8154ab38664b4f6c5b4;ac63d96b353f1449e9049b52f9de0b82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/005/SRR6956855/SRR6956855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/005/SRR6956855/SRR6956855_2.fastq.gz	16244
PRJNA433868	SAMN08887670	SRX3899926	SRR6956856	9555	Papio anubis	0ed75fe3464e864d25c811d8c8279141;827495f26e1c3701f576b0d5e7d74b8e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/006/SRR6956856/SRR6956856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/006/SRR6956856/SRR6956856_2.fastq.gz	16304
PRJNA433868	SAMN08887655	SRX3899925	SRR6956857	9555	Papio anubis	e073b68a2b95bb9d9203657fa89a38f0;a5011deeae43267c7efdb36fde3dcd82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/007/SRR6956857/SRR6956857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/007/SRR6956857/SRR6956857_2.fastq.gz	16316
PRJNA433868	SAMN08887730	SRX3899923	SRR6956859	9555	Papio anubis	43df10aa2f4a7ac97c803bb388559601;5539aa97f15a35a487a24251d74fb05d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/009/SRR6956859/SRR6956859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/009/SRR6956859/SRR6956859_2.fastq.gz	16420
PRJNA433868	SAMN08887754	SRX3899922	SRR6956860	9555	Papio anubis	1ce47192503c0ac13a4a112f844ed672;300a617462397cdc33cd078ed48a743b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/000/SRR6956860/SRR6956860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/000/SRR6956860/SRR6956860_2.fastq.gz	16243
PRJNA433868	SAMN08887669	SRX3899915	SRR6956867	9555	Papio anubis	b481b6413a685e74762eb0da141ead11;56ae1275cbfa31eb366394300effeaab	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/007/SRR6956867/SRR6956867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/007/SRR6956867/SRR6956867_2.fastq.gz	15979
PRJNA433868	SAMN08887641	SRX3899914	SRR6956868	9555	Papio anubis	4b624a1722e01786324d81005f8c3f15;7f7787ab9a595d7b34952e62df67b727	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/008/SRR6956868/SRR6956868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/008/SRR6956868/SRR6956868_2.fastq.gz	17024
PRJNA433868	SAMN08887737	SRX3899910	SRR6956872	9555	Papio anubis	667eb080833dc57e633b23994ef509b1;639c923bcb0b4aba8fca4fbe4051bf2c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/002/SRR6956872/SRR6956872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/002/SRR6956872/SRR6956872_2.fastq.gz	15940
PRJNA433868	SAMN08887744	SRX3899909	SRR6956873	9555	Papio anubis	43fdf54156ae2cb1a4547c566caaa62b;2bdc8a1dbfa6ff9947d11d62ac340d20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/003/SRR6956873/SRR6956873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/003/SRR6956873/SRR6956873_2.fastq.gz	15211
PRJNA433868	SAMN08887698	SRX3899908	SRR6956874	9555	Papio anubis	421cd38092675c368e26acffd754867d;4e8abe3a6598192f23775ec8140e26bd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/004/SRR6956874/SRR6956874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/004/SRR6956874/SRR6956874_2.fastq.gz	16254
PRJNA433868	SAMN08887682	SRX3899907	SRR6956875	9555	Papio anubis	e32aa0f827a1d87a0a110b877e4183de;3d71447db971e79d8deb53932cf678e9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/005/SRR6956875/SRR6956875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR695/005/SRR6956875/SRR6956875_2.fastq.gz	15442
