study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	sample_alias
PRJNA755322	SAMN20815156	SRX11805027	SRR15505586	208510	Papio cynocephalus x Papio anubis	287110a0bc04fa66cd17af064cf26176;52553fcb3b7cbb531cae8394107175d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/086/SRR15505586/SRR15505586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/086/SRR15505586/SRR15505586_2.fastq.gz	AMB_183
PRJNA755322	SAMN20815118	SRX11805026	SRR15505587	208510	Papio cynocephalus x Papio anubis	3c6c2175097a2f9a6b7dd41772b8547b;a909a6218c618c8eaa8093a235b76978	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/087/SRR15505587/SRR15505587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/087/SRR15505587/SRR15505587_2.fastq.gz	AMB_155
PRJNA755322	SAMN20815049	SRX11805021	SRR15505593	208510	Papio cynocephalus x Papio anubis	033c1d99a958b46302b01ce856e1c771;b5f5fd9033605abbbd712000e75366cc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/093/SRR15505593/SRR15505593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/093/SRR15505593/SRR15505593_2.fastq.gz	AMB_119
PRJNA755322	SAMN20814970	SRX11805018	SRR15505595	208510	Papio cynocephalus x Papio anubis	8e11c6be96744e4d67c487e18480dc57;767bef9542bda8cdca288d51e31a5f74	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/095/SRR15505595/SRR15505595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/095/SRR15505595/SRR15505595_2.fastq.gz	AMB_135
PRJNA755322	SAMN20814931	SRX11805017	SRR15505596	208510	Papio cynocephalus x Papio anubis	378fe1366b20c09160472456ec93ea8c;1d548e4c97cf40e4e35b0b656503a04b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/096/SRR15505596/SRR15505596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/096/SRR15505596/SRR15505596_2.fastq.gz	AMB_199
PRJNA755322	SAMN20815117	SRX11805014	SRR15505600	208510	Papio cynocephalus x Papio anubis	79b76db1c6c2427d7262f348e8910c04;39a9a8823f773b2194ed5f3508cd45c7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR15505600/SRR15505600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR15505600/SRR15505600_2.fastq.gz	AMB_050
PRJNA755322	SAMN20814987	SRX11805010	SRR15505604	208510	Papio cynocephalus x Papio anubis	3d41dbfd540c4870dbc386588433e950;2149bff9b32393a8b38a259b9b9e4bbf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR15505604/SRR15505604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR15505604/SRR15505604_2.fastq.gz	AMB_117
PRJNA755322	SAMN20815307	SRX11805009	SRR15505605	208510	Papio cynocephalus x Papio anubis	68a3c5daa9da3b78e87147e6e79eb651;217ebe8b65fdeaa2766a63c354bc6c57	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR15505605/SRR15505605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR15505605/SRR15505605_2.fastq.gz	AMB_012
PRJNA755322	SAMN20814943	SRX11805008	SRR15505606	208510	Papio cynocephalus x Papio anubis	0ce5aa487ff5d17e76fea22f25dd3c37;768e7b286f123913ccb8d61259397451	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR15505606/SRR15505606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR15505606/SRR15505606_2.fastq.gz	AMB_223
PRJNA755322	SAMN20815175	SRX11805004	SRR15505609	208510	Papio cynocephalus x Papio anubis	84d1c71d05b0dbd62adf1600b9227de1;ae856b35c7acf23c6c4fea4c093007c1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR15505609/SRR15505609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR15505609/SRR15505609_2.fastq.gz	AMB_208
