Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Individual,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,create_date,version,isolate
SRR2565851,not applicable,WGS,150,7284049050,PRJNA295782,SAMN04095971,Model organism or animal,not applicable,3254616040,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1307847,AMB_001,Illumina HiSeq 2500,AMB_001,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_001,male,SRP064514,fecal-derived DNA,2015-10-06T14:21:00Z,1,
SRR2565852,not applicable,WGS,150,5824751550,PRJNA295782,SAMN04095972,Model organism or animal,not applicable,2584153668,DUKE UNIVERSITY,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1307848,AMB_002,Illumina HiSeq 2500,AMB_002,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_002,female,SRP064514,fecal-derived DNA,2015-10-06T14:18:00Z,1,
SRR2565853,not applicable,WGS,150,8375226900,PRJNA295782,SAMN04095973,Model organism or animal,not applicable,3721428425,DUKE UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1307849,AMB_003,Illumina HiSeq 2500,AMB_003,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_003,male,SRP064514,fecal-derived DNA,2015-10-06T14:22:00Z,1,
SRR2565854,not applicable,WGS,150,6009401400,PRJNA295782,SAMN04095974,Model organism or animal,not applicable,2648755135,DUKE UNIVERSITY,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1307850,AMB_004,Illumina HiSeq 2500,AMB_004,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_004,female,SRP064514,fecal-derived DNA,2015-10-06T14:18:00Z,1,
SRR2565855,not applicable,WGS,150,6729482100,PRJNA295782,SAMN04095975,Model organism or animal,not applicable,3000874310,DUKE UNIVERSITY,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1307851,AMB_005,Illumina HiSeq 2500,AMB_005,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_005,male,SRP064514,fecal-derived DNA,2015-10-06T14:19:00Z,1,
SRR2565856,not applicable,WGS,150,5092756050,PRJNA295782,SAMN04095976,Model organism or animal,not applicable,2258065880,DUKE UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX1307852,AMB_006,Illumina HiSeq 2500,AMB_006,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_006,male,SRP064514,fecal-derived DNA,2015-10-06T14:17:00Z,1,
SRR2565857,not applicable,WGS,150,4127691150,PRJNA295782,SAMN04095977,Model organism or animal,not applicable,1824075563,DUKE UNIVERSITY,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1307853,AMB_007,Illumina HiSeq 2500,AMB_007,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_007,female,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565858,not applicable,WGS,150,4398671100,PRJNA295782,SAMN04095978,Model organism or animal,not applicable,1951979422,DUKE UNIVERSITY,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1307854,AMB_008,Illumina HiSeq 2500,AMB_008,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_008,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565859,not applicable,WGS,150,3539423250,PRJNA295782,SAMN04095979,Model organism or animal,not applicable,1471771649,DUKE UNIVERSITY,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1307855,AMB_009,Illumina HiSeq 2500,AMB_009,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_009,female,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565860,not applicable,WGS,150,6697415250,PRJNA295782,SAMN04095980,Model organism or animal,not applicable,2774279454,DUKE UNIVERSITY,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1307856,AMB_010,Illumina HiSeq 2500,AMB_010,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_010,male,SRP064514,fecal-derived DNA,2015-10-06T14:17:00Z,1,
SRR2565861,not applicable,WGS,150,3789681000,PRJNA295782,SAMN04095981,Model organism or animal,not applicable,1602576051,DUKE UNIVERSITY,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1307857,AMB_011,Illumina HiSeq 2500,AMB_011,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_011,male,SRP064514,fecal-derived DNA,2015-10-06T14:13:00Z,1,
SRR2565862,not applicable,WGS,150,7624365300,PRJNA295782,SAMN04095982,Model organism or animal,not applicable,3168809744,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1307858,AMB_012,Illumina HiSeq 2500,AMB_012,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_012,male,SRP064514,fecal-derived DNA,2015-10-06T14:20:00Z,1,
SRR2565863,not applicable,WGS,150,6098548800,PRJNA295782,SAMN04095983,Model organism or animal,not applicable,2522415137,DUKE UNIVERSITY,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1307859,AMB_013,Illumina HiSeq 2500,AMB_013,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_013,male,SRP064514,fecal-derived DNA,2015-10-06T14:18:00Z,1,
SRR2565864,not applicable,WGS,150,5309461950,PRJNA295782,SAMN04095984,Model organism or animal,not applicable,2197879947,DUKE UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1307860,AMB_014,Illumina HiSeq 2500,AMB_014,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_014,male,SRP064514,fecal-derived DNA,2015-10-06T14:15:00Z,1,
SRR2565865,not applicable,WGS,150,4950461700,PRJNA295782,SAMN04095985,Model organism or animal,not applicable,2051455412,DUKE UNIVERSITY,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1307861,AMB_015,Illumina HiSeq 2500,AMB_015,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_015,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
SRR2565866,not applicable,WGS,150,8661132450,PRJNA295782,SAMN04095986,Model organism or animal,not applicable,3637883252,DUKE UNIVERSITY,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX1307862,AMB_016,Illumina HiSeq 2500,AMB_016,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_016,male,SRP064514,fecal-derived DNA,2015-10-06T14:19:00Z,1,
SRR2565867,not applicable,WGS,150,4343681400,PRJNA295782,SAMN04095987,Model organism or animal,not applicable,1844434999,DUKE UNIVERSITY,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1307863,AMB_017,Illumina HiSeq 2500,AMB_017,SINGLE,Hybrid Selection,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-14T00:00:00Z,AMB_017,male,SRP064514,fecal-derived DNA,2015-10-06T14:14:00Z,1,
