Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue
SRR3158615,not applicable,WGS,202,18922785108,PRJNA308870,SAMN04455161,Model organism or animal,11966200670,DUKE UNIVERSITY,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX1565016,Illumina HiSeq 2500,Pcyn_1.0,pcyn_1.0,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-09T18:47:00Z,1,Pcyn_1.0,not applicable,SRP069769,not applicable,blood
SRR3158616,not applicable,WGS,202,17110219716,PRJNA308870,SAMN04455161,Model organism or animal,10452319431,DUKE UNIVERSITY,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX1565016,Illumina HiSeq 2500,Pcyn_1.0,pcyn_1.0,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-09T18:01:00Z,1,Pcyn_1.0,not applicable,SRP069769,not applicable,blood
SRR3158617,not applicable,WGS,202,27306221428,PRJNA308870,SAMN04455161,Model organism or animal,18137661134,DUKE UNIVERSITY,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX1565016,Illumina HiSeq 2500,Pcyn_1.0,pcyn_1.0,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-09T18:56:00Z,1,Pcyn_1.0,not applicable,SRP069769,not applicable,blood
SRR3158618,not applicable,WGS,202,18266287532,PRJNA308870,SAMN04455161,Model organism or animal,12169477589,DUKE UNIVERSITY,public,"run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX1565016,Illumina HiSeq 2500,Pcyn_1.0,pcyn_1.0,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-09T18:05:00Z,1,Pcyn_1.0,not applicable,SRP069769,not applicable,blood
SRR3151893,not applicable,WGS,202,6641523256,PRJNA308870,SAMN04452791,Model organism or animal,4558995181,DUKE UNIVERSITY,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX1564972,Illumina HiSeq 2500,Sample_60187,AMB_059,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:10:00Z,1,Sample_60187,not applicable,SRP069769,not applicable,blood
SRR3151894,not applicable,WGS,202,6022517082,PRJNA308870,SAMN04452792,Model organism or animal,4173547073,DUKE UNIVERSITY,public,"run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,SRX1564973,Illumina HiSeq 2500,Sample_60202,AMB_060,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:05:00Z,1,Sample_60202,not applicable,SRP069769,not applicable,blood
SRR3151895,not applicable,WGS,202,7965260364,PRJNA308870,SAMN04452793,Model organism or animal,5451237965,DUKE UNIVERSITY,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX1564974,Illumina HiSeq 2500,Sample_60282,AMB_061,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:15:00Z,1,Sample_60282,not applicable,SRP069769,not applicable,blood
SRR3151896,not applicable,WGS,202,6090797728,PRJNA308870,SAMN04452795,Model organism or animal,4031134971,DUKE UNIVERSITY,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,SRX1564976,Illumina HiSeq 2500,Sample_60326,AMB_063,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:09:00Z,1,Sample_60326,not applicable,SRP069769,not applicable,blood
SRR3151897,not applicable,WGS,202,12724984142,PRJNA308870,SAMN04452794,Model organism or animal,9060654760,DUKE UNIVERSITY,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX1564975,Illumina HiSeq 2500,Sample_60302,AMB_062,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:32:00Z,1,Sample_60302,not applicable,SRP069769,not applicable,blood
SRR3151898,not applicable,WGS,202,5160227158,PRJNA308870,SAMN04452796,Model organism or animal,3687572625,DUKE UNIVERSITY,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX1564977,Illumina HiSeq 2500,Sample_60430,AMB_064,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:05:00Z,1,Sample_60430,not applicable,SRP069769,not applicable,blood
SRR3151899,not applicable,WGS,202,5385190720,PRJNA308870,SAMN04452797,Model organism or animal,3912241886,DUKE UNIVERSITY,public,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX1564978,Illumina HiSeq 2500,Sample_60510,AMB_065,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:04:00Z,1,Sample_60510,not applicable,SRP069769,not applicable,blood
SRR3151900,not applicable,WGS,202,4344597012,PRJNA308870,SAMN04452798,Model organism or animal,3122061720,DUKE UNIVERSITY,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX1564979,Illumina HiSeq 2500,Sample_60591,AMB_066,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:01:00Z,1,Sample_60591,not applicable,SRP069769,not applicable,blood
SRR3151901,not applicable,WGS,202,5127863728,PRJNA308870,SAMN04452799,Model organism or animal,3491050960,DUKE UNIVERSITY,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX1564980,Illumina HiSeq 2500,Sample_60608,AMB_067,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:04:00Z,1,Sample_60608,not applicable,SRP069769,not applicable,blood
SRR3151902,not applicable,WGS,202,5012641514,PRJNA308870,SAMN04452800,Model organism or animal,3476023246,DUKE UNIVERSITY,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX1564981,Illumina HiSeq 2500,Sample_60636,AMB_068,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:08:00Z,1,Sample_60636,not applicable,SRP069769,not applicable,blood
SRR3151903,not applicable,WGS,202,11143020334,PRJNA308870,SAMN04452801,Model organism or animal,7593568840,DUKE UNIVERSITY,public,"sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,SRX1564982,Illumina HiSeq 2500,Sample_60811,AMB_069,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:32:00Z,1,Sample_60811,not applicable,SRP069769,not applicable,blood
SRR3151904,not applicable,WGS,202,1860570490,PRJNA308870,SAMN04452802,Model organism or animal,1267581973,DUKE UNIVERSITY,public,"sra,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,SRX1564983,Illumina HiSeq 2500,Sample_60820,AMB_070,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T11:56:00Z,1,Sample_60820,not applicable,SRP069769,not applicable,blood
SRR3151905,not applicable,WGS,202,8763504976,PRJNA308870,SAMN04452803,Model organism or animal,5742712444,DUKE UNIVERSITY,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX1564984,Illumina HiSeq 2500,Sample_60898,AMB_071,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T13:12:00Z,1,Sample_60898,not applicable,SRP069769,not applicable,blood
SRR3151906,not applicable,WGS,202,4148068990,PRJNA308870,SAMN04452804,Model organism or animal,2774979093,DUKE UNIVERSITY,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,SRX1564985,Illumina HiSeq 2500,Sample_60911,AMB_072,PAIRED,RANDOM,GENOMIC,Papio cynocephalus,ILLUMINA,2016-04-15T00:00:00Z,2016-02-08T12:07:00Z,1,Sample_60911,not applicable,SRP069769,not applicable,blood
