Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR15559135,WGS,300,5357972700,PRJNA755322,SAMN20815136,MIGS.eu,2095052244,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857401,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_244,Not applicable,AMB_244,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_244,SRP332951,Not applicable
SRR15559136,WGS,300,3091372500,PRJNA755322,SAMN20815036,MIGS.eu,1185525863,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857400,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_243,Not applicable,AMB_243,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:39:00Z,1,AMB_243,SRP332951,Not applicable
SRR15559137,WGS,300,4222584900,PRJNA755322,SAMN20815059,MIGS.eu,1556283539,DUKE UNIVERSITY,Not applicable,public,Not applicable,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857399,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_241,Not applicable,AMB_241,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:40:00Z,1,AMB_241,SRP332951,Not applicable
SRR15559138,WGS,300,5697435300,PRJNA755322,SAMN20815312,MIGS.eu,2112026316,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857398,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_239,Not applicable,AMB_239,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:46:00Z,1,AMB_239,SRP332951,Not applicable
SRR15559139,WGS,300,5026240500,PRJNA755322,SAMN20814917,MIGS.eu,1842588876,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857397,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_238,Not applicable,AMB_238,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_238,SRP332951,Not applicable
SRR15559140,WGS,300,5060942400,PRJNA755322,SAMN20815300,MIGS.eu,1874023222,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857396,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_237,Not applicable,AMB_237,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:46:00Z,1,AMB_237,SRP332951,Not applicable
SRR15559141,WGS,300,5518283700,PRJNA755322,SAMN20815048,MIGS.eu,2038100191,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857395,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_235,Not applicable,AMB_235,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:46:00Z,1,AMB_235,SRP332951,Not applicable
SRR15559142,WGS,300,4115396100,PRJNA755322,SAMN20815246,MIGS.eu,1525627480,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857394,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_234,Not applicable,AMB_234,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:42:00Z,1,AMB_234,SRP332951,Not applicable
SRR15559143,WGS,300,3992969700,PRJNA755322,SAMN20815153,MIGS.eu,1473103650,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857393,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_232,Not applicable,AMB_232,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:48:00Z,1,AMB_232,SRP332951,Not applicable
SRR15559144,WGS,300,4756083900,PRJNA755322,SAMN20814944,MIGS.eu,1780572802,DUKE UNIVERSITY,Not applicable,public,Not applicable,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857392,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_231,Not applicable,AMB_231,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:45:00Z,1,AMB_231,SRP332951,Not applicable
SRR15559145,WGS,300,4614430800,PRJNA755322,SAMN20814908,MIGS.eu,1750858129,DUKE UNIVERSITY,Not applicable,public,Not applicable,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Not applicable,Not applicable,Not applicable,Not applicable,SRX11857391,uncalculated,uncalculated,Not applicable,HiSeq X Ten,Not applicable,AMB_027,Not applicable,AMB_027,PAIRED,RANDOM,GENOMIC,Papio cynocephalus x Papio anubis,ILLUMINA,2022-07-07T00:00:00Z,2021-08-21T16:50:00Z,1,AMB_027,SRP332951,Not applicable
