study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJEB59576	SAMEA14464458	ERX10380739	ERR10941430	210166	Cheracebus lugens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/030/ERR10941430/ERR10941430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/030/ERR10941430/ERR10941430_2.fastq.gz	PD_0001
PRJEB59576	SAMEA14464441	ERX10380748	ERR10941439	666519	Mico humilis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10941439/ERR10941439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10941439/ERR10941439_2.fastq.gz	PD_0002
PRJEB59576	SAMEA14464399	ERX10380758	ERR10941449	9507	Ateles belzebuth	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10941449/ERR10941449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/049/ERR10941449/ERR10941449_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380759	ERR10941450	9507	Ateles belzebuth	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10941450/ERR10941450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10941450/ERR10941450_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380761	ERR10941452	9507	Ateles belzebuth	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10941452/ERR10941452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10941452/ERR10941452_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380762	ERR10941453	9507	Ateles belzebuth	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10941453/ERR10941453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/053/ERR10941453/ERR10941453_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464399	ERX10380763	ERR10941454	9507	Ateles belzebuth	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10941454/ERR10941454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10941454/ERR10941454_2.fastq.gz	PD_0004
PRJEB59576	SAMEA14464368	ERX10380766	ERR10941457	198115	Alouatta macconnelli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/057/ERR10941457/ERR10941457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/057/ERR10941457/ERR10941457_2.fastq.gz	PD_0005
PRJEB59576	SAMEA14464368	ERX10380767	ERR10941458	198115	Alouatta macconnelli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10941458/ERR10941458_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10941458/ERR10941458_2.fastq.gz	PD_0005
PRJEB59576	SAMEA14464473	ERX10380773	ERR10941464	280163	Chiropotes israelita	ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941464/ERR10941464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/064/ERR10941464/ERR10941464_2.fastq.gz	PD_0006
