study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA295782	SAMN04095971	SRX1307847	SRR2565851	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565851/SRR2565851.fastq.gz	AMB_001
PRJNA295782	SAMN04095972	SRX1307848	SRR2565852	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/002/SRR2565852/SRR2565852.fastq.gz	AMB_002
PRJNA295782	SAMN04095974	SRX1307850	SRR2565854	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565854/SRR2565854.fastq.gz	AMB_004
PRJNA295782	SAMN04095978	SRX1307854	SRR2565858	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565858/SRR2565858.fastq.gz	AMB_008
PRJNA295782	SAMN04095979	SRX1307855	SRR2565859	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565859/SRR2565859.fastq.gz	AMB_009
PRJNA295782	SAMN04095980	SRX1307856	SRR2565860	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/000/SRR2565860/SRR2565860.fastq.gz	AMB_010
PRJNA295782	SAMN04095981	SRX1307857	SRR2565861	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/001/SRR2565861/SRR2565861.fastq.gz	AMB_011
PRJNA295782	SAMN04095984	SRX1307860	SRR2565864	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/004/SRR2565864/SRR2565864.fastq.gz	AMB_014
PRJNA295782	SAMN04095985	SRX1307861	SRR2565865	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565865/SRR2565865.fastq.gz	AMB_015
PRJNA295782	SAMN04095986	SRX1307862	SRR2565866	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565866/SRR2565866.fastq.gz	AMB_016
PRJNA295782	SAMN04095988	SRX1307864	SRR2565868	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/008/SRR2565868/SRR2565868.fastq.gz	AMB_018
PRJNA295782	SAMN04095996	SRX1307872	SRR2565876	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565876/SRR2565876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/006/SRR2565876/SRR2565876_2.fastq.gz	AMB_026
PRJNA295782	SAMN04095999	SRX1307875	SRR2565879	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565879/SRR2565879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/009/SRR2565879/SRR2565879_2.fastq.gz	AMB_029
PRJNA295782	SAMN04096005	SRX1307881	SRR2565885	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565885/SRR2565885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/005/SRR2565885/SRR2565885_2.fastq.gz	AMB_035
