study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA308870	SAMN04452792	SRX1564973	SRR3151894	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151894/SRR3151894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151894/SRR3151894_2.fastq.gz	Sample_60202
PRJNA308870	SAMN04452793	SRX1564974	SRR3151895	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151895/SRR3151895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151895/SRR3151895_2.fastq.gz	Sample_60282
PRJNA308870	SAMN04452795	SRX1564976	SRR3151896	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151896/SRR3151896_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151896/SRR3151896_2.fastq.gz	Sample_60326
PRJNA308870	SAMN04452798	SRX1564979	SRR3151900	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151900/SRR3151900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151900/SRR3151900_2.fastq.gz	Sample_60591
PRJNA308870	SAMN04452800	SRX1564981	SRR3151902	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151902/SRR3151902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151902/SRR3151902_2.fastq.gz	Sample_60636
PRJNA308870	SAMN04452801	SRX1564982	SRR3151903	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151903/SRR3151903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151903/SRR3151903_2.fastq.gz	Sample_60811
PRJNA308870	SAMN04452802	SRX1564983	SRR3151904	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151904/SRR3151904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151904/SRR3151904_2.fastq.gz	Sample_60820
PRJNA308870	SAMN04452803	SRX1564984	SRR3151905	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151905/SRR3151905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151905/SRR3151905_2.fastq.gz	Sample_60898
PRJNA308870	SAMN04452808	SRX1564989	SRR3151910	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151910/SRR3151910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151910/SRR3151910_2.fastq.gz	Sample_60960
PRJNA308870	SAMN04452814	SRX1564995	SRR3151916	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151916/SRR3151916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151916/SRR3151916_2.fastq.gz	Sample_90128
PRJNA308870	SAMN04452818	SRX1564999	SRR3151920	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151920/SRR3151920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151920/SRR3151920_2.fastq.gz	Sample_90256
PRJNA308870	SAMN04452821	SRX1565002	SRR3151923	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151923/SRR3151923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151923/SRR3151923_2.fastq.gz	Sample_90460
PRJNA308870	SAMN04452823	SRX1565004	SRR3151925	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151925/SRR3151925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151925/SRR3151925_2.fastq.gz	Sample_90462
PRJNA308870	SAMN04452824	SRX1565005	SRR3151926	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151926/SRR3151926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/006/SRR3151926/SRR3151926_2.fastq.gz	Sample_90463
PRJNA308870	SAMN04452825	SRX1565006	SRR3151927	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151927/SRR3151927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151927/SRR3151927_2.fastq.gz	Sample_90464
PRJNA308870	SAMN04452826	SRX1565007	SRR3151928	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151928/SRR3151928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3151928/SRR3151928_2.fastq.gz	Sample_90465
PRJNA308870	SAMN04452828	SRX1565009	SRR3151930	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151930/SRR3151930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/000/SRR3151930/SRR3151930_2.fastq.gz	Sample_90472
PRJNA308870	SAMN04452830	SRX1565011	SRR3151932	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151932/SRR3151932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/002/SRR3151932/SRR3151932_2.fastq.gz	Sample_90477
PRJNA308870	SAMN04455161	SRX1565016	SRR3158618	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3158618/SRR3158618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/008/SRR3158618/SRR3158618_2.fastq.gz	Pcyn_1.0
PRJNA308870	SAMN04452791	SRX1564972	SRR3151893	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151893/SRR3151893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151893/SRR3151893_2.fastq.gz	Sample_60187
PRJNA308870	SAMN04452794	SRX1564975	SRR3151897	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151897/SRR3151897_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/007/SRR3151897/SRR3151897_2.fastq.gz	Sample_60302
PRJNA308870	SAMN04452807	SRX1564988	SRR3151909	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151909/SRR3151909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151909/SRR3151909_2.fastq.gz	Sample_60932
PRJNA308870	SAMN04452809	SRX1564990	SRR3151911	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151911/SRR3151911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151911/SRR3151911_2.fastq.gz	Sample_60995
PRJNA308870	SAMN04452811	SRX1564992	SRR3151913	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151913/SRR3151913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/003/SRR3151913/SRR3151913_2.fastq.gz	Sample_61005
PRJNA308870	SAMN04452813	SRX1564994	SRR3151915	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151915/SRR3151915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/005/SRR3151915/SRR3151915_2.fastq.gz	Sample_90122
PRJNA308870	SAMN04452817	SRX1564998	SRR3151919	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151919/SRR3151919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/009/SRR3151919/SRR3151919_2.fastq.gz	Sample_90252
PRJNA308870	SAMN04452819	SRX1565000	SRR3151921	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151921/SRR3151921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/001/SRR3151921/SRR3151921_2.fastq.gz	Sample_90456
PRJNA308870	SAMN04452822	SRX1565003	SRR3151924	9556	Papio cynocephalus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151924/SRR3151924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR315/004/SRR3151924/SRR3151924_2.fastq.gz	Sample_90461
