study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA433868	SAMN12703509	SRX6809764	SRR10076328	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/028/SRR10076328/SRR10076328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/028/SRR10076328/SRR10076328_2.fastq.gz	1X1693
PRJNA433868	SAMN12703507	SRX6809761	SRR10076331	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/031/SRR10076331/SRR10076331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/031/SRR10076331/SRR10076331_2.fastq.gz	1X2892
PRJNA433868	SAMN12703539	SRX6809757	SRR10076335	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/035/SRR10076335/SRR10076335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/035/SRR10076335/SRR10076335_2.fastq.gz	8395
PRJNA433868	SAMN12703539	SRX6809756	SRR10076336	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/036/SRR10076336/SRR10076336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/036/SRR10076336/SRR10076336_2.fastq.gz	8395
PRJNA433868	SAMN12703536	SRX6809753	SRR10076339	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/039/SRR10076339/SRR10076339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/039/SRR10076339/SRR10076339_2.fastq.gz	6955
PRJNA433868	SAMN12703535	SRX6809752	SRR10076340	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/040/SRR10076340/SRR10076340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/040/SRR10076340/SRR10076340_2.fastq.gz	6265
PRJNA433868	SAMN12703534	SRX6809751	SRR10076341	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/041/SRR10076341/SRR10076341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/041/SRR10076341/SRR10076341_2.fastq.gz	26196
PRJNA433868	SAMN12703530	SRX6809743	SRR10076349	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/049/SRR10076349/SRR10076349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/049/SRR10076349/SRR10076349_2.fastq.gz	1X2054
PRJNA433868	SAMN12703528	SRX6809741	SRR10076351	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/051/SRR10076351/SRR10076351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/051/SRR10076351/SRR10076351_2.fastq.gz	18929
PRJNA433868	SAMN12703527	SRX6809740	SRR10076352	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/052/SRR10076352/SRR10076352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/052/SRR10076352/SRR10076352_2.fastq.gz	17903
PRJNA433868	SAMN12703524	SRX6809735	SRR10076357	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/057/SRR10076357/SRR10076357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/057/SRR10076357/SRR10076357_2.fastq.gz	15444
PRJNA433868	SAMN12703522	SRX6809733	SRR10076359	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/059/SRR10076359/SRR10076359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/059/SRR10076359/SRR10076359_2.fastq.gz	1X1392
PRJNA433868	SAMN12703521	SRX6809732	SRR10076360	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/060/SRR10076360/SRR10076360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/060/SRR10076360/SRR10076360_2.fastq.gz	1X1237
PRJNA433868	SAMN12703504	SRX6809728	SRR10076364	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/064/SRR10076364/SRR10076364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/064/SRR10076364/SRR10076364_2.fastq.gz	11885
PRJNA433868	SAMN12703517	SRX6809727	SRR10076365	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/065/SRR10076365/SRR10076365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/065/SRR10076365/SRR10076365_2.fastq.gz	14435
PRJNA433868	SAMN12703514	SRX6809723	SRR10076369	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/069/SRR10076369/SRR10076369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/069/SRR10076369/SRR10076369_2.fastq.gz	10987
PRJNA433868	SAMN12703512	SRX6809721	SRR10076371	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/071/SRR10076371/SRR10076371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/071/SRR10076371/SRR10076371_2.fastq.gz	1_0291
PRJNA433868	SAMN12703510	SRX6809718	SRR10076374	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/074/SRR10076374/SRR10076374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/074/SRR10076374/SRR10076374_2.fastq.gz	1X0351
PRJNA433868	SAMN18927694	SRX10719203	SRR14366660	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR143/060/SRR14366660/SRR14366660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR143/060/SRR14366660/SRR14366660_2.fastq.gz	1X0354
PRJNA433868	SAMN09606687	SRX4343623	SRR7473869	9555	Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR747/009/SRR7473869/SRR7473869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR747/009/SRR7473869/SRR7473869_2.fastq.gz	31177
