study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sample_alias
PRJNA755322	SAMN20815206	SRX11805025	SRR15505588	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/088/SRR15505588/SRR15505588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/088/SRR15505588/SRR15505588_2.fastq.gz	AMB_073
PRJNA755322	SAMN20814939	SRX11805028	SRR15505589	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/089/SRR15505589/SRR15505589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/089/SRR15505589/SRR15505589_2.fastq.gz	AMB_125
PRJNA755322	SAMN20815233	SRX11805022	SRR15505592	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/092/SRR15505592/SRR15505592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/092/SRR15505592/SRR15505592_2.fastq.gz	AMB_141
PRJNA755322	SAMN20815090	SRX11805019	SRR15505594	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/094/SRR15505594/SRR15505594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/094/SRR15505594/SRR15505594_2.fastq.gz	AMB_242
PRJNA755322	SAMN20815155	SRX11805020	SRR15505597	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/097/SRR15505597/SRR15505597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/097/SRR15505597/SRR15505597_2.fastq.gz	AMB_057
PRJNA755322	SAMN20815258	SRX11805012	SRR15505602	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR15505602/SRR15505602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR15505602/SRR15505602_2.fastq.gz	AMB_146
PRJNA755322	SAMN20815176	SRX11805007	SRR15505610	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/010/SRR15505610/SRR15505610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/010/SRR15505610/SRR15505610_2.fastq.gz	AMB_158
PRJNA755322	SAMN20815060	SRX11805003	SRR15505611	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/011/SRR15505611/SRR15505611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/011/SRR15505611/SRR15505611_2.fastq.gz	AMB_131
PRJNA755322	SAMN20815088	SRX11805002	SRR15505612	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/012/SRR15505612/SRR15505612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/012/SRR15505612/SRR15505612_2.fastq.gz	AMB_107
PRJNA755322	SAMN20815138	SRX11805000	SRR15505614	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/014/SRR15505614/SRR15505614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/014/SRR15505614/SRR15505614_2.fastq.gz	AMB_002
PRJNA755322	SAMN20815315	SRX11804998	SRR15505615	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/015/SRR15505615/SRR15505615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/015/SRR15505615/SRR15505615_2.fastq.gz	AMB_124
PRJNA755322	SAMN20815152	SRX11804996	SRR15505617	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/017/SRR15505617/SRR15505617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/017/SRR15505617/SRR15505617_2.fastq.gz	AMB_093
PRJNA755322	SAMN20815111	SRX11804992	SRR15505622	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/022/SRR15505622/SRR15505622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/022/SRR15505622/SRR15505622_2.fastq.gz	AMB_080
PRJNA755322	SAMN20815011	SRX11804988	SRR15505625	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/025/SRR15505625/SRR15505625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/025/SRR15505625/SRR15505625_2.fastq.gz	AMB_133
PRJNA755322	SAMN20815209	SRX11804987	SRR15505627	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/027/SRR15505627/SRR15505627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/027/SRR15505627/SRR15505627_2.fastq.gz	AMB_116
PRJNA755322	SAMN20815158	SRX11804978	SRR15505636	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/036/SRR15505636/SRR15505636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/036/SRR15505636/SRR15505636_2.fastq.gz	AMB_101
PRJNA755322	SAMN20815102	SRX11804975	SRR15505639	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/039/SRR15505639/SRR15505639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/039/SRR15505639/SRR15505639_2.fastq.gz	AMB_277
PRJNA755322	SAMN20815007	SRX11804968	SRR15505645	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/045/SRR15505645/SRR15505645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/045/SRR15505645/SRR15505645_2.fastq.gz	AMB_167
PRJNA755322	SAMN20815306	SRX11804966	SRR15505648	208510	Papio cynocephalus x Papio anubis	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/048/SRR15505648/SRR15505648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/048/SRR15505648/SRR15505648_2.fastq.gz	AMB_055
