Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCF_008728515.1		Primary Assembly	1	91091906	42	CM018180.1	Chromosome		NC_044976.1	assembled-molecule	218172882		
GCF_008728515.1		Primary Assembly	2	76840330	39.5	CM018181.1	Chromosome		NC_044977.1	assembled-molecule	193660750		
GCF_008728515.1		Primary Assembly	3	70537539	38	CM018182.1	Chromosome		NC_044978.1	assembled-molecule	184919515		
GCF_008728515.1		Primary Assembly	4	74087976	40.5	CM018183.1	Chromosome		NC_044979.1	assembled-molecule	182120902		
GCF_008728515.1		Primary Assembly	5	68633880	39.5	CM018184.1	Chromosome		NC_044980.1	assembled-molecule	173900761		
GCF_008728515.1		Primary Assembly	6	66098991	39.5	CM018185.1	Chromosome		NC_044981.1	assembled-molecule	167138247		
GCF_008728515.1		Primary Assembly	7	66988783	41.5	CM018186.1	Chromosome		NC_044982.1	assembled-molecule	161768468		
GCF_008728515.1		Primary Assembly	8	56218983	40	CM018187.1	Chromosome		NC_044983.1	assembled-molecule	140274886		
GCF_008728515.1		Primary Assembly	9	52129139	41	CM018188.1	Chromosome		NC_044984.1	assembled-molecule	127591819		
GCF_008728515.1		Primary Assembly	10	50133748	39.5	CM018189.1	Chromosome		NC_044985.1	assembled-molecule	126462689		
GCF_008728515.1		Primary Assembly	11	52419619	41.5	CM018190.1	Chromosome		NC_044986.1	assembled-molecule	125913696		
GCF_008728515.1		Primary Assembly	12	51444505	41.5	CM018191.1	Chromosome		NC_044987.1	assembled-molecule	123343450		
GCF_008728515.1		Primary Assembly	13	44264031	41.5	CM018192.1	Chromosome		NC_044988.1	assembled-molecule	106849001		
GCF_008728515.1		Primary Assembly	14	43820751	41	CM018193.1	Chromosome		NC_044989.1	assembled-molecule	106654974		
GCF_008728515.1		Primary Assembly	15	35529887	38.5	CM018194.1	Chromosome		NC_044990.1	assembled-molecule	91985775		
